customer weight coord_x coord_y id_cust fid
1 9.0 478861.72591274 5390061.79565943 1 51
2 112.0 483861.72591274 5390061.79565943 3 119
3 9.0 483861.72591274 5385061.79565943 4 120
4 81.0 488861.72591274 5395061.79565943 5 186
5 275.0 488861.72591274 5390061.79565943 6 187
6 435.5 488861.72591274 5385061.79565943 7 188
7 70.0 493861.72591274 5400061.79565943 8 253
8 13.0 493861.72591274 5395061.79565943 9 254
9 31.0 493861.72591274 5390061.79565943 10 255
10 1775.0 493861.72591274 5385061.79565943 11 256
11 384.5 498861.72591274 5415061.79565943 12 318
12 107.0 498861.72591274 5410061.79565943 13 319
13 173.0 498861.72591274 5405061.79565943 14 320
14 89.5 498861.72591274 5400061.79565943 15 321
15 5.0 498861.72591274 5395061.79565943 16 322
16 71.0 503861.72591274 5415061.79565943 19 386
17 30.0 503861.72591274 5410061.79565943 20 387
18 31.0 503861.72591274 5405061.79565943 21 388
19 8.0 503861.72591274 5400061.79565943 22 389
20 1555.0 508861.72591274 5415061.79565943 26 454
21 364.0 508861.72591274 5410061.79565943 27 455
22 52.0 508861.72591274 5405061.79565943 28 456
23 14.0 508861.72591274 5400061.79565943 29 457
24 1.0 508861.72591274 5370061.79565943 34 463
25 32027.5 513861.72591274 5415061.79565943 35 522
26 526.0 513861.72591274 5410061.79565943 36 523
27 175.0 513861.72591274 5405061.79565943 37 524
28 59.0 513861.72591274 5400061.79565943 38 525
29 5.0 513861.72591274 5390061.79565943 40 527
30 1.0 513861.72591274 5385061.79565943 41 528
31 1803.5 518861.72591274 5515061.79565943 45 570
32 1086.0 518861.72591274 5510061.79565943 46 571
33 2342.5 518861.72591274 5505061.79565943 47 572
34 305.5 518861.72591274 5445061.79565943 48 584
35 396.0 518861.72591274 5440061.79565943 49 585
36 12793.5 518861.72591274 5435061.79565943 50 586
37 268.0 518861.72591274 5430061.79565943 51 587
38 258.0 518861.72591274 5425061.79565943 52 588
39 1769.0 518861.72591274 5420061.79565943 53 589
40 6385.0 518861.72591274 5415061.79565943 54 590
41 1725.5 518861.72591274 5410061.79565943 55 591
42 27.0 518861.72591274 5405061.79565943 56 592
43 47.0 518861.72591274 5400061.79565943 57 593
44 23.0 518861.72591274 5395061.79565943 58 594
45 8.0 518861.72591274 5390061.79565943 59 595
46 13.5 518861.72591274 5380061.79565943 61 597
47 7.0 518861.72591274 5375061.79565943 62 598
48 895.5 523861.72591274 5515061.79565943 64 638
49 167.0 523861.72591274 5510061.79565943 65 639
50 1245.0 523861.72591274 5505061.79565943 66 640
51 2767.5 523861.72591274 5500061.79565943 67 641
52 1519.0 523861.72591274 5445061.79565943 68 652
53 116.0 523861.72591274 5440061.79565943 69 653
54 369.0 523861.72591274 5435061.79565943 70 654
55 1642.0 523861.72591274 5430061.79565943 71 655
56 1375.5 523861.72591274 5425061.79565943 72 656
57 2181.5 523861.72591274 5420061.79565943 73 657
58 436.5 523861.72591274 5415061.79565943 74 658
59 3263.0 523861.72591274 5410061.79565943 75 659
60 24.0 523861.72591274 5405061.79565943 76 660
61 48.5 523861.72591274 5400061.79565943 77 661
62 1031.5 523861.72591274 5395061.79565943 78 662
63 351.0 523861.72591274 5390061.79565943 79 663
64 20.0 523861.72591274 5385061.79565943 80 664
65 32.0 523861.72591274 5380061.79565943 81 665
66 1791.5 523861.72591274 5375061.79565943 82 666
67 1845.0 528861.72591274 5515061.79565943 84 706
68 10603.5 528861.72591274 5510061.79565943 85 707
69 1332.0 528861.72591274 5505061.79565943 86 708
70 1056.5 528861.72591274 5500061.79565943 87 709
71 3012.0 528861.72591274 5495061.79565943 88 710
72 3522.0 528861.72591274 5490061.79565943 89 711
73 924.0 528861.72591274 5485061.79565943 90 712
74 2964.0 528861.72591274 5480061.79565943 91 713
75 3720.5 528861.72591274 5450061.79565943 92 719
76 637.5 528861.72591274 5445061.79565943 93 720
77 4125.5 528861.72591274 5440061.79565943 94 721
78 98.5 528861.72591274 5435061.79565943 95 722
79 1135.0 528861.72591274 5430061.79565943 96 723
80 56.0 528861.72591274 5425061.79565943 97 724
81 819.0 528861.72591274 5420061.79565943 98 725
82 246.5 528861.72591274 5415061.79565943 99 726
83 1125.0 528861.72591274 5410061.79565943 100 727
84 124.5 528861.72591274 5405061.79565943 101 728
85 95.0 528861.72591274 5400061.79565943 102 729
86 55.0 528861.72591274 5395061.79565943 103 730
87 91.0 528861.72591274 5390061.79565943 104 731
