customer weight coord_x coord_y id_cust fid
1 9.0 478861.72591274 5390061.79565943 1 51
3 112.0 483861.72591274 5390061.79565943 2 119
4 9.0 483861.72591274 5385061.79565943 3 120
5 81.0 488861.72591274 5395061.79565943 4 186
6 275.0 488861.72591274 5390061.79565943 5 187
7 435.5 488861.72591274 5385061.79565943 6 188
8 70.0 493861.72591274 5400061.79565943 7 253
9 13.0 493861.72591274 5395061.79565943 8 254
10 31.0 493861.72591274 5390061.79565943 9 255
11 1775.0 493861.72591274 5385061.79565943 10 256
12 384.5 498861.72591274 5415061.79565943 11 318
13 107.0 498861.72591274 5410061.79565943 12 319
14 173.0 498861.72591274 5405061.79565943 13 320
15 89.5 498861.72591274 5400061.79565943 14 321
16 5.0 498861.72591274 5395061.79565943 15 322
19 71.0 503861.72591274 5415061.79565943 16 386
20 30.0 503861.72591274 5410061.79565943 17 387
21 31.0 503861.72591274 5405061.79565943 18 388
22 8.0 503861.72591274 5400061.79565943 19 389
26 1555.0 508861.72591274 5415061.79565943 20 454
27 364.0 508861.72591274 5410061.79565943 21 455
28 52.0 508861.72591274 5405061.79565943 22 456
29 14.0 508861.72591274 5400061.79565943 23 457
34 1.0 508861.72591274 5370061.79565943 24 463
35 32027.5 513861.72591274 5415061.79565943 25 522
36 526.0 513861.72591274 5410061.79565943 26 523
37 175.0 513861.72591274 5405061.79565943 27 524
38 59.0 513861.72591274 5400061.79565943 28 525
40 5.0 513861.72591274 5390061.79565943 29 527
41 1.0 513861.72591274 5385061.79565943 30 528
45 1803.5 518861.72591274 5515061.79565943 31 570
46 1086.0 518861.72591274 5510061.79565943 32 571
47 2342.5 518861.72591274 5505061.79565943 33 572
48 305.5 518861.72591274 5445061.79565943 34 584
49 396.0 518861.72591274 5440061.79565943 35 585
50 12793.5 518861.72591274 5435061.79565943 36 586
51 268.0 518861.72591274 5430061.79565943 37 587
52 258.0 518861.72591274 5425061.79565943 38 588
53 1769.0 518861.72591274 5420061.79565943 39 589
54 6385.0 518861.72591274 5415061.79565943 40 590
55 1725.5 518861.72591274 5410061.79565943 41 591
56 27.0 518861.72591274 5405061.79565943 42 592
57 47.0 518861.72591274 5400061.79565943 43 593
58 23.0 518861.72591274 5395061.79565943 44 594
59 8.0 518861.72591274 5390061.79565943 45 595
61 13.5 518861.72591274 5380061.79565943 46 597
62 7.0 518861.72591274 5375061.79565943 47 598
64 895.5 523861.72591274 5515061.79565943 48 638
65 167.0 523861.72591274 5510061.79565943 49 639
66 1245.0 523861.72591274 5505061.79565943 50 640
67 2767.5 523861.72591274 5500061.79565943 51 641
68 1519.0 523861.72591274 5445061.79565943 52 652
69 116.0 523861.72591274 5440061.79565943 53 653
70 369.0 523861.72591274 5435061.79565943 54 654
71 1642.0 523861.72591274 5430061.79565943 55 655
72 1375.5 523861.72591274 5425061.79565943 56 656
73 2181.5 523861.72591274 5420061.79565943 57 657
74 436.5 523861.72591274 5415061.79565943 58 658
75 3263.0 523861.72591274 5410061.79565943 59 659
76 24.0 523861.72591274 5405061.79565943 60 660
77 48.5 523861.72591274 5400061.79565943 61 661
78 1031.5 523861.72591274 5395061.79565943 62 662
79 351.0 523861.72591274 5390061.79565943 63 663
80 20.0 523861.72591274 5385061.79565943 64 664
81 32.0 523861.72591274 5380061.79565943 65 665
82 1791.5 523861.72591274 5375061.79565943 66 666
84 1845.0 528861.72591274 5515061.79565943 67 706
85 10603.5 528861.72591274 5510061.79565943 68 707
86 1332.0 528861.72591274 5505061.79565943 69 708
87 1056.5 528861.72591274 5500061.79565943 70 709
88 3012.0 528861.72591274 5495061.79565943 71 710
89 3522.0 528861.72591274 5490061.79565943 72 711
90 924.0 528861.72591274 5485061.79565943 73 712
91 2964.0 528861.72591274 5480061.79565943 74 713
92 3720.5 528861.72591274 5450061.79565943 75 719
93 637.5 528861.72591274 5445061.79565943 76 720
94 4125.5 528861.72591274 5440061.79565943 77 721
95 98.5 528861.72591274 5435061.79565943 78 722
96 1135.0 528861.72591274 5430061.79565943 79 723
97 56.0 528861.72591274 5425061.79565943 80 724
98 819.0 528861.72591274 5420061.79565943 81 725
99 246.5 528861.72591274 5415061.79565943 82 726
100 1125.0 528861.72591274 5410061.79565943 83 727
101 124.5 528861.72591274 5405061.79565943 84 728
102 95.0 528861.72591274 5400061.79565943 85 729
103 55.0 528861.72591274 5395061.79565943 86 730
104 91.0 528861.72591274 5390061.79565943 87 731
105 66.0 528861.72591274 5385061.79565943 88 732
