location capacity coord_x coord_y id_loc fid
1 30549.053230079426 478861.72591274 5390061.79565943 1 51
3 19344.665454661208 483861.72591274 5390061.79565943 2 119
4 5256.61920641185 483861.72591274 5385061.79565943 3 120
5 27858.575544974778 488861.72591274 5395061.79565943 4 186
6 22826.834631905826 488861.72591274 5390061.79565943 5 187
7 31159.962990966764 488861.72591274 5385061.79565943 6 188
8 38875.41960080255 493861.72591274 5400061.79565943 7 253
9 6128.958568791443 493861.72591274 5395061.79565943 8 254
10 16992.688290554946 493861.72591274 5390061.79565943 9 255
11 9560.542124286801 493861.72591274 5385061.79565943 10 256
12 4731.475811567622 498861.72591274 5415061.79565943 11 318
13 11951.685479927713 498861.72591274 5410061.79565943 12 319
14 25280.69607690949 498861.72591274 5405061.79565943 13 320
15 16657.819543176236 498861.72591274 5400061.79565943 14 321
16 1770.3122550615594 498861.72591274 5395061.79565943 15 322
19 5719.032550822265 503861.72591274 5415061.79565943 16 386
20 30490.85155440968 503861.72591274 5410061.79565943 17 387
21 89670.93064221524 503861.72591274 5405061.79565943 18 388
22 3400.4736315215705 503861.72591274 5400061.79565943 19 389
26 14300.117204759055 508861.72591274 5415061.79565943 20 454
27 16051.30227043724 508861.72591274 5410061.79565943 21 455
28 29231.667388398484 508861.72591274 5405061.79565943 22 456
29 21377.16921293609 508861.72591274 5400061.79565943 23 457
34 16843.476814796533 508861.72591274 5370061.79565943 24 463
35 6175.103959773213 513861.72591274 5415061.79565943 25 522
36 88612.26718316149 513861.72591274 5410061.79565943 26 523
37 92421.61732377017 513861.72591274 5405061.79565943 27 524
38 29631.200654151704 513861.72591274 5400061.79565943 28 525
40 6529.272186206747 513861.72591274 5390061.79565943 29 527
41 10645.832974739345 513861.72591274 5385061.79565943 30 528
45 8927.8457456233 518861.72591274 5515061.79565943 31 570
46 43471.48867401949 518861.72591274 5510061.79565943 32 571
47 17563.628464161153 518861.72591274 5505061.79565943 33 572
48 25822.400230685762 518861.72591274 5445061.79565943 34 584
49 31700.26888947342 518861.72591274 5440061.79565943 35 585
50 38441.84579423396 518861.72591274 5435061.79565943 36 586
51 26244.54923743217 518861.72591274 5430061.79565943 37 587
52 23493.090527205244 518861.72591274 5425061.79565943 38 588
53 34474.11546822846 518861.72591274 5420061.79565943 39 589
54 3979.602340822968 518861.72591274 5415061.79565943 40 590
55 51954.43686516312 518861.72591274 5410061.79565943 41 591
56 2314.7826328628735 518861.72591274 5405061.79565943 42 592
57 10641.15433349444 518861.72591274 5400061.79565943 43 593
58 20582.64906036247 518861.72591274 5395061.79565943 44 594
59 47146.12332223413 518861.72591274 5390061.79565943 45 595
61 22991.443300244147 518861.72591274 5380061.79565943 46 597
62 49980.58357896776 518861.72591274 5375061.79565943 47 598
64 47832.94113165455 523861.72591274 5515061.79565943 48 638
65 13898.749433871857 523861.72591274 5510061.79565943 49 639
66 3725.70939891811 523861.72591274 5505061.79565943 50 640
67 20546.14318471657 523861.72591274 5500061.79565943 51 641
68 16477.567388731364 523861.72591274 5445061.79565943 52 652
69 71877.07476800043 523861.72591274 5440061.79565943 53 653
70 24337.86831481565 523861.72591274 5435061.79565943 54 654
71 2741.9318182472343 523861.72591274 5430061.79565943 55 655
72 5422.964199631043 523861.72591274 5425061.79565943 56 656
73 89662.1159518653 523861.72591274 5420061.79565943 57 657
74 28026.756159078228 523861.72591274 5415061.79565943 58 658
75 38055.30406608342 523861.72591274 5410061.79565943 59 659
76 49282.49045431073 523861.72591274 5405061.79565943 60 660
77 60636.243274845125 523861.72591274 5400061.79565943 61 661
78 3794.4685292480294 523861.72591274 5395061.79565943 62 662
79 13884.961637703782 523861.72591274 5390061.79565943 63 663
80 59510.867250483076 523861.72591274 5385061.79565943 64 664
81 16546.839352912575 523861.72591274 5380061.79565943 65 665
82 7360.714332917272 523861.72591274 5375061.79565943 66 666
84 11036.805399023302 528861.72591274 5515061.79565943 67 706
85 74229.32723331974 528861.72591274 5510061.79565943 68 707
86 22666.00017821437 528861.72591274 5505061.79565943 69 708
87 31219.547851844203 528861.72591274 5500061.79565943 70 709
88 71956.3226340197 528861.72591274 5495061.79565943 71 710
89 9867.632736904585 528861.72591274 5490061.79565943 72 711
90 1465.949231726419 528861.72591274 5485061.79565943 73 712
91 16290.061521672453 528861.72591274 5480061.79565943 74 713
92 9160.0909122087 528861.72591274 5450061.79565943 75 719
93 71567.40090761079 528861.72591274 5445061.79565943 76 720
94 15869.127767489608 528861.72591274 5440061.79565943 77 721
95 103472.3542490164 528861.72591274 5435061.79565943 78 722
96 24531.001229605634 528861.72591274 5430061.79565943 79 723
97 23467.922224381597 528861.72591274 5425061.79565943 80 724
98 20415.51244213902 528861.72591274 5420061.79565943 81 725
99 17343.350785489634 528861.72591274 5415061.79565943 82 726
100 26876.00310362485 528861.72591274 5410061.79565943 83 727
101 6228.063504581601 528861.72591274 5405061.79565943 84 728
102 19097.522452731708 528861.72591274 5400061.79565943 85 729
103 819.9176083263787 528861.72591274 5395061.79565943 86 730
104 7500.363943139494 528861.72591274 5390061.79565943 87 731
105 5841.316222941256 528861.72591274 5385061.79565943 88 732
106 12600.084437222382 528861.72591274 5380061.79565943 89 733
107 68319.88656001272 528861.72591274 5375061.79565943 90 734
109 3903.362897594491 533861.72591274 5510061.79565943 91 775
110 91865.05132496174 533861.72591274 5505061.79565943 92 776
111 21296.38825546537 533861.72591274 5500061.79565943 93 777
112 49787.198949639846 533861.72591274 5495061.79565943 94 778
113 7989.094269281415 533861.72591274 5490061.79565943 95 779
114 28846.429826319396 533861.72591274 5485061.79565943 96 780
115 84092.0337385961 533861.72591274 5480061.79565943 97 781
116 11405.8042377927 533861.72591274 5475061.79565943 98 782
117 28843.072289146738 533861.72591274 5455061.79565943 99 786
118 56937.6071722464 533861.72591274 5450061.79565943 100 787
119 2969.804869946426 533861.72591274 5445061.79565943 101 788
120 28889.026182387413 533861.72591274 5440061.79565943 102 789
121 584.7016859302084 533861.72591274 5435061.79565943 103 790
122 21408.34190292534 533861.72591274 5430061.79565943 104 791
123 5409.812721192745 533861.72591274 5425061.79565943 105 792
124 22311.979803688577 533861.72591274 5420061.79565943 106 793
125 7429.505335167991 533861.72591274 5415061.79565943 107 794
126 7842.59455903816 533861.72591274 5410061.79565943 108 795
127 24049.536862724188 533861.72591274 5405061.79565943 109 796
128 27319.044573023508 533861.72591274 5400061.79565943 110 797
129 18378.762286313384 533861.72591274 5395061.79565943 111 798
131 11994.776061848306 533861.72591274 5385061.79565943 112 800
133 8057.116794325362 533861.72591274 5375061.79565943 113 802
134 76453.77094615444 533861.72591274 5370061.79565943 114 803
136 52203.96545553849 538861.72591274 5500061.79565943 115 845
137 48114.327070328596 538861.72591274 5495061.79565943 116 846
138 15966.671116401634 538861.72591274 5490061.79565943 117 847
139 23284.472039466564 538861.72591274 5485061.79565943 118 848
140 1065.8702212608773 538861.72591274 5480061.79565943 119 849
141 5928.653638536976 538861.72591274 5475061.79565943 120 850
142 94302.54932025353 538861.72591274 5470061.79565943 121 851
143 75723.72273084967 538861.72591274 5460061.79565943 122 853
144 29836.29524549191 538861.72591274 5455061.79565943 123 854
145 31056.369608956207 538861.72591274 5450061.79565943 124 855
146 91090.73772592201 538861.72591274 5445061.79565943 125 856
147 12547.966271393432 538861.72591274 5440061.79565943 126 857
148 42203.83296730163 538861.72591274 5435061.79565943 127 858
149 18012.534258494466 538861.72591274 5430061.79565943 128 859
150 86094.76589705901 538861.72591274 5425061.79565943 129 860
151 3384.700220150971 538861.72591274 5420061.79565943 130 861
152 31801.05781187824 538861.72591274 5415061.79565943 131 862
153 16788.15218426734 538861.72591274 5410061.79565943 132 863
154 55693.005721198206 538861.72591274 5405061.79565943 133 864
158 22648.977463340143 538861.72591274 5385061.79565943 134 868
161 9635.73659882406 538861.72591274 5370061.79565943 135 871
162 57899.94485370173 538861.72591274 5365061.79565943 136 872
163 61182.02852944123 543861.72591274 5505061.79565943 137 912
164 16253.056988196939 543861.72591274 5500061.79565943 138 913
165 52803.09207536084 543861.72591274 5495061.79565943 139 914
166 25618.579180405577 543861.72591274 5490061.79565943 140 915
167 42874.498663894236 543861.72591274 5485061.79565943 141 916
168 3283.0316245995605 543861.72591274 5480061.79565943 142 917
169 1435.884428945595 543861.72591274 5475061.79565943 143 918
170 17561.99108634945 543861.72591274 5470061.79565943 144 919
171 19095.623017565107 543861.72591274 5465061.79565943 145 920
172 1480.6285158569983 543861.72591274 5460061.79565943 146 921
173 43580.883277298286 543861.72591274 5455061.79565943 147 922
174 16912.70509720018 543861.72591274 5450061.79565943 148 923
175 38986.23369270353 543861.72591274 5445061.79565943 149 924
176 3008.2342819056626 543861.72591274 5440061.79565943 150 925
177 17202.67996243525 543861.72591274 5435061.79565943 151 926
178 20578.589073121322 543861.72591274 5430061.79565943 152 927
179 31349.07794014284 543861.72591274 5425061.79565943 153 928
180 10570.283525238918 543861.72591274 5420061.79565943 154 929
181 40736.99889576627 543861.72591274 5415061.79565943 155 930
182 2788.921410046419 543861.72591274 5410061.79565943 156 931
183 30928.86338617377 543861.72591274 5405061.79565943 157 932
184 54267.396693455594 543861.72591274 5400061.79565943 158 933
185 5807.195712846709 543861.72591274 5395061.79565943 159 934
186 8256.130379827144 543861.72591274 5390061.79565943 160 935
187 23034.443997483104 543861.72591274 5385061.79565943 161 936
189 9201.064230642798 548861.72591274 5505061.79565943 162 980
190 87427.21211199285 548861.72591274 5500061.79565943 163 981
191 19760.379781356 548861.72591274 5495061.79565943 164 982
192 8176.187379468037 548861.72591274 5490061.79565943 165 983
193 24410.907173194824 548861.72591274 5485061.79565943 166 984
194 3986.0814277169134 548861.72591274 5480061.79565943 167 985
195 1588.2185710826159 548861.72591274 5475061.79565943 168 986
196 54511.93356948488 548861.72591274 5470061.79565943 169 987
197 3405.6308632145124 548861.72591274 5465061.79565943 170 988
198 15360.523188153971 548861.72591274 5460061.79565943 171 989
199 14099.589047988035 548861.72591274 5455061.79565943 172 990
200 19891.79888057062 548861.72591274 5450061.79565943 173 991
201 1733.82729340118 548861.72591274 5445061.79565943 174 992
202 20210.367333555 548861.72591274 5440061.79565943 175 993
203 27550.303089723067 548861.72591274 5435061.79565943 176 994
204 5477.485902522749 548861.72591274 5430061.79565943 177 995
205 20737.378980482918 548861.72591274 5425061.79565943 178 996
206 18934.659339376733 548861.72591274 5420061.79565943 179 997
207 82258.01099540657 548861.72591274 5415061.79565943 180 998
208 20765.033524858954 548861.72591274 5410061.79565943 181 999
209 17656.58169005322 548861.72591274 5405061.79565943 182 1000
210 76231.14810959232 548861.72591274 5400061.79565943 183 1001
211 92756.5273906369 548861.72591274 5395061.79565943 184 1002
212 2499.4650171326657 548861.72591274 5390061.79565943 185 1003
213 871.920534455961 548861.72591274 5385061.79565943 186 1004
214 22029.100368039606 548861.72591274 5380061.79565943 187 1005
215 10443.59081947713 553861.72591274 5505061.79565943 188 1048
216 32858.2433179541 553861.72591274 5500061.79565943 189 1049
217 41087.797320028316 553861.72591274 5495061.79565943 190 1050
218 22466.07833001331 553861.72591274 5490061.79565943 191 1051
219 28218.073313706576 553861.72591274 5485061.79565943 192 1052
220 25863.262698056034 553861.72591274 5480061.79565943 193 1053
221 5939.119944515946 553861.72591274 5475061.79565943 194 1054
222 57795.599678024235 553861.72591274 5470061.79565943 195 1055
223 140726.2051383123 553861.72591274 5465061.79565943 196 1056
224 25001.808323390494 553861.72591274 5460061.79565943 197 1057
225 29913.91034172881 553861.72591274 5455061.79565943 198 1058
226 45770.59231762638 553861.72591274 5450061.79565943 199 1059
227 56131.37969346947 553861.72591274 5445061.79565943 200 1060
228 29016.287786821216 553861.72591274 5440061.79565943 201 1061
229 26594.50473335854 553861.72591274 5435061.79565943 202 1062
230 28792.564060828678 553861.72591274 5430061.79565943 203 1063
231 636.9147609513834 553861.72591274 5425061.79565943 204 1064
