location capacity coord_x coord_y id_loc fid
1 18991.046127039368 478861.72591274 5390061.79565943 1 51
3 11969.644808825698 483861.72591274 5390061.79565943 2 119
4 3141.1547135852256 483861.72591274 5385061.79565943 3 120
5 17305.017051335308 488861.72591274 5395061.79565943 4 186
6 14151.79949156433 488861.72591274 5390061.79565943 5 187
7 19373.882091518815 488861.72591274 5385061.79565943 6 188
8 4264.89122336754 493861.72591274 5400061.79565943 7 253
9 3687.819544516884 493861.72591274 5395061.79565943 8 254
10 10495.742272473351 493861.72591274 5390061.79565943 9 255
11 5838.273972109748 493861.72591274 5385061.79565943 10 256
12 2812.065556844322 498861.72591274 5415061.79565943 11 318
13 7336.720602649388 498861.72591274 5410061.79565943 12 319
14 15689.549374022263 498861.72591274 5405061.79565943 13 320
15 10285.89163972107 498861.72591274 5400061.79565943 14 321
16 956.4070312876346 498861.72591274 5395061.79565943 15 322
19 3430.9331228193423 503861.72591274 5415061.79565943 16 386
20 18954.573154980477 503861.72591274 5410061.79565943 17 387
21 16152.676710834701 503861.72591274 5405061.79565943 18 388
22 1977.9726417433199 503861.72591274 5400061.79565943 19 389
26 8808.40133514261 508861.72591274 5415061.79565943 20 454
27 9905.808295259172 508861.72591274 5410061.79565943 21 455
28 18165.486099059228 508861.72591274 5405061.79565943 22 456
29 13243.344439155817 508861.72591274 5400061.79565943 23 457
34 10402.236614370258 508861.72591274 5370061.79565943 24 463
35 3716.737261001111 513861.72591274 5415061.79565943 25 522
36 35433.24902911407 513861.72591274 5410061.79565943 26 523
37 17876.436676929028 513861.72591274 5405061.79565943 27 524
38 18415.859743301044 513861.72591274 5400061.79565943 28 525
40 3938.6822080874317 513861.72591274 5390061.79565943 29 527
41 6518.388116742544 513861.72591274 5385061.79565943 30 528
45 5441.78508969858 518861.72591274 5515061.79565943 31 570
46 7145.088347576944 518861.72591274 5510061.79565943 32 571
47 10853.530682508108 518861.72591274 5505061.79565943 33 572
48 16029.016584158568 518861.72591274 5445061.79565943 34 584
49 19712.473063560716 518861.72591274 5440061.79565943 35 585
50 3993.1855525175347 518861.72591274 5435061.79565943 36 586
51 16293.562729103212 518861.72591274 5430061.79565943 37 587
52 14569.318959409451 518861.72591274 5425061.79565943 38 588
53 1506.7465341846982 518861.72591274 5420061.79565943 39 589
54 2340.892523169187 518861.72591274 5415061.79565943 40 590
55 12461.057841448815 518861.72591274 5410061.79565943 41 591
56 1297.6077381044554 518861.72591274 5405061.79565943 42 592
57 6515.4561745014435 518861.72591274 5400061.79565943 43 593
58 12745.44620870837 518861.72591274 5395061.79565943 44 594
59 9447.854467429917 518861.72591274 5390061.79565943 45 595
61 14254.954036375413 518861.72591274 5380061.79565943 46 597
62 11224.112428326032 518861.72591274 5375061.79565943 47 598
64 9878.25937389141 523861.72591274 5515061.79565943 48 638
65 8556.878070142913 523861.72591274 5510061.79565943 49 639
66 2181.786619954464 523861.72591274 5505061.79565943 50 640
67 12722.569242244836 523861.72591274 5500061.79565943 51 641
68 10172.933864588833 523861.72591274 5445061.79565943 52 652
69 5001.884218145162 523861.72591274 5440061.79565943 53 653
70 15098.711907102563 523861.72591274 5435061.79565943 54 654
71 1565.2873216254475 523861.72591274 5430061.79565943 55 655
72 3245.397352993864 523861.72591274 5425061.79565943 56 656
73 16147.152850032731 523861.72591274 5420061.79565943 57 657
74 17410.410010703843 523861.72591274 5415061.79565943 58 658
