location capacity coord_x coord_y id_loc fid
1 18991.046127039368 478861.72591274 5390061.79565943 1 51
2 11969.644808825698 483861.72591274 5390061.79565943 3 119
3 3141.1547135852256 483861.72591274 5385061.79565943 4 120
4 17305.017051335308 488861.72591274 5395061.79565943 5 186
5 14151.79949156433 488861.72591274 5390061.79565943 6 187
6 19373.88209151881 488861.72591274 5385061.79565943 7 188
7 4264.89122336754 493861.72591274 5400061.79565943 8 253
8 3687.819544516884 493861.72591274 5395061.79565943 9 254
9 10495.742272473351 493861.72591274 5390061.79565943 10 255
10 5838.273972109748 493861.72591274 5385061.79565943 11 256
11 2812.065556844322 498861.72591274 5415061.79565943 12 318
12 7336.720602649388 498861.72591274 5410061.79565943 13 319
13 15689.549374022265 498861.72591274 5405061.79565943 14 320
14 10285.89163972107 498861.72591274 5400061.79565943 15 321
15 956.4070312876346 498861.72591274 5395061.79565943 16 322
16 3430.9331228193423 503861.72591274 5415061.79565943 19 386
17 18954.57315498048 503861.72591274 5410061.79565943 20 387
18 16152.6767108347 503861.72591274 5405061.79565943 21 388
19 1977.97264174332 503861.72591274 5400061.79565943 22 389
20 8808.40133514261 508861.72591274 5415061.79565943 26 454
21 9905.808295259172 508861.72591274 5410061.79565943 27 455
22 18165.486099059228 508861.72591274 5405061.79565943 28 456
23 13243.344439155817 508861.72591274 5400061.79565943 29 457
24 10402.236614370258 508861.72591274 5370061.79565943 34 463
25 3716.737261001111 513861.72591274 5415061.79565943 35 522
26 35433.24902911407 513861.72591274 5410061.79565943 36 523
27 17876.436676929028 513861.72591274 5405061.79565943 37 524
28 18415.859743301044 513861.72591274 5400061.79565943 38 525
29 3938.682208087432 513861.72591274 5390061.79565943 40 527
30 6518.388116742544 513861.72591274 5385061.79565943 41 528
31 5441.78508969858 518861.72591274 5515061.79565943 45 570
32 7145.088347576944 518861.72591274 5510061.79565943 46 571
33 10853.530682508108 518861.72591274 5505061.79565943 47 572
34 16029.016584158568 518861.72591274 5445061.79565943 48 584
35 19712.47306356072 518861.72591274 5440061.79565943 49 585
36 3993.185552517535 518861.72591274 5435061.79565943 50 586
37 16293.562729103212 518861.72591274 5430061.79565943 51 587
38 14569.318959409453 518861.72591274 5425061.79565943 52 588
39 1506.7465341846982 518861.72591274 5420061.79565943 53 589
40 2340.892523169187 518861.72591274 5415061.79565943 54 590
41 12461.057841448815 518861.72591274 5410061.79565943 55 591
42 1297.6077381044554 518861.72591274 5405061.79565943 56 592
43 6515.456174501444 518861.72591274 5400061.79565943 57 593
44 12745.44620870837 518861.72591274 5395061.79565943 58 594
45 9447.854467429916 518861.72591274 5390061.79565943 59 595
46 14254.954036375411 518861.72591274 5380061.79565943 61 597
47 11224.112428326032 518861.72591274 5375061.79565943 62 598
48 9878.25937389141 523861.72591274 5515061.79565943 64 638
49 8556.878070142913 523861.72591274 5510061.79565943 65 639
50 2181.786619954464 523861.72591274 5505061.79565943 66 640
51 12722.569242244836 523861.72591274 5500061.79565943 67 641
52 10172.933864588833 523861.72591274 5445061.79565943 68 652
53 5001.884218145162 523861.72591274 5440061.79565943 69 653
54 15098.711907102565 523861.72591274 5435061.79565943 70 654
55 1565.2873216254477 523861.72591274 5430061.79565943 71 655
56 3245.397352993864 523861.72591274 5425061.79565943 72 656
57 16147.152850032731 523861.72591274 5420061.79565943 73 657
58 17410.410010703843 523861.72591274 5415061.79565943 74 658
59 3750.9532544230983 523861.72591274 5410061.79565943 75 659
60 10786.641672765738 523861.72591274 5405061.79565943 76 660
61 17901.644885674148 523861.72591274 5400061.79565943 77 661
62 2224.875582779985 523861.72591274 5395061.79565943 78 662
63 8548.237736362056 523861.72591274 5390061.79565943 79 663
64 17196.410752464515 523861.72591274 5385061.79565943 80 664
65 10216.344202606972 523861.72591274 5380061.79565943 81 665
66 4459.718172028244 523861.72591274 5375061.79565943 82 666
67 6763.396978473956 528861.72591274 5515061.79565943 84 706
