location capacity coord_x coord_y id_loc fid
1 91544.45068695073 478861.72591274 5390061.79565943 1 51
2 117524.29085066756 483861.72591274 5390061.79565943 2 119
3 19583.725088496314 483861.72591274 5385061.79565943 3 120
4 48059.02550576265 488861.72591274 5395061.79565943 4 186
5 81815.53646479468 488861.72591274 5390061.79565943 5 187
6 52218.3114503169 488861.72591274 5385061.79565943 6 188
7 102034.50651393403 493861.72591274 5400061.79565943 7 253
8 60778.550546181315 493861.72591274 5395061.79565943 8 254
9 74465.32893143989 493861.72591274 5390061.79565943 9 255
10 65101.865359552656 493861.72591274 5385061.79565943 10 256
11 59017.91793793214 498861.72591274 5415061.79565943 11 318
12 68114.37119633521 498861.72591274 5410061.79565943 12 319
13 84907.058312822 498861.72591274 5405061.79565943 13 320
14 74043.4411957445 498861.72591274 5400061.79565943 14 321
15 55287.26645833849 498861.72591274 5395061.79565943 15 322
16 60262.10115854091 503861.72591274 5415061.79565943 16 386
17 51375.3247246022 503861.72591274 5410061.79565943 17 387
18 206125.538390608 503861.72591274 5405061.79565943 18 388
19 57341.04154877717 503861.72591274 5400061.79565943 19 389
20 111168.86635848432 508861.72591274 5415061.79565943 20 454
21 33183.514352439466 508861.72591274 5410061.79565943 21 455
22 49788.92897767043 508861.72591274 5405061.79565943 22 456
23 79989.1610090004 508861.72591274 5400061.79565943 23 457
24 74277.34336354127 508861.72591274 5370061.79565943 24 463
25 60836.68727786043 513861.72591274 5415061.79565943 25 522
26 204791.77065892259 513861.72591274 5410061.79565943 26 523
27 169495.21847727694 513861.72591274 5405061.79565943 27 524
28 90388.0849526399 513861.72591274 5400061.79565943 28 525
29 21187.08965498556 513861.72591274 5390061.79565943 29 527
30 26373.379876217696 513861.72591274 5385061.79565943 30 528
31 64304.75650819978 518861.72591274 5515061.79565943 31 570
32 107824.91003644082 518861.72591274 5510061.79565943 32 571
33 75184.6336110965 518861.72591274 5505061.79565943 33 572
34 45493.72970091783 518861.72591274 5445061.79565943 34 584
35 52899.02123254703 518861.72591274 5440061.79565943 35 585
36 101488.26422365788 518861.72591274 5435061.79565943 36 586
37 46025.57834303934 518861.72591274 5430061.79565943 37 587
38 122750.72560833785 518861.72591274 5425061.79565943 38 588
39 96489.47954699975 518861.72591274 5420061.79565943 39 589
40 58070.6626369077 518861.72591274 5415061.79565943 40 590
41 118512.23703365242 518861.72591274 5410061.79565943 41 591
42 55973.22290139835 518861.72591274 5405061.79565943 42 592
43 66463.28544332006 518861.72591274 5400061.79565943 43 593
44 119083.97685996437 518861.72591274 5395061.79565943 44 594
45 112454.4351963085 518861.72591274 5390061.79565943 45 595
46 41927.120339535766 518861.72591274 5380061.79565943 46 597
47 116025.45825830702 518861.72591274 5375061.79565943 47 598
