location subarea NOM_EPCI
1 1 "CA d'Arles-Crau-Camargue-Montagnette"
2 1 "CA d'Arles-Crau-Camargue-Montagnette"
3 1 "CA d'Arles-Crau-Camargue-Montagnette"
4 1 "CA d'Arles-Crau-Camargue-Montagnette"
5 1 "CA d'Arles-Crau-Camargue-Montagnette"
6 1 "CA d'Arles-Crau-Camargue-Montagnette"
7 1 "CA d'Arles-Crau-Camargue-Montagnette"
8 1 "CA d'Arles-Crau-Camargue-Montagnette"
9 1 "CA d'Arles-Crau-Camargue-Montagnette"
10 1 "CA d'Arles-Crau-Camargue-Montagnette"
11 1 "CA d'Arles-Crau-Camargue-Montagnette"
12 1 "CA d'Arles-Crau-Camargue-Montagnette"
13 1 "CA d'Arles-Crau-Camargue-Montagnette"
14 1 "CA d'Arles-Crau-Camargue-Montagnette"
15 1 "CA d'Arles-Crau-Camargue-Montagnette"
16 1 "CA d'Arles-Crau-Camargue-Montagnette"
17 1 "CA d'Arles-Crau-Camargue-Montagnette"
18 1 "CA d'Arles-Crau-Camargue-Montagnette"
19 1 "CA d'Arles-Crau-Camargue-Montagnette"
20 1 "CA d'Arles-Crau-Camargue-Montagnette"
21 1 "CA d'Arles-Crau-Camargue-Montagnette"
22 1 "CA d'Arles-Crau-Camargue-Montagnette"
23 1 "CA d'Arles-Crau-Camargue-Montagnette"
24 1 "CA d'Arles-Crau-Camargue-Montagnette"
25 1 "CA d'Arles-Crau-Camargue-Montagnette"
26 1 "CA d'Arles-Crau-Camargue-Montagnette"
27 1 "CA d'Arles-Crau-Camargue-Montagnette"
28 1 "CA d'Arles-Crau-Camargue-Montagnette"
29 1 "CA d'Arles-Crau-Camargue-Montagnette"
30 1 "CA d'Arles-Crau-Camargue-Montagnette"
31 2 "CC Rhône Lez Provence"
32 2 "CC Rhône Lez Provence"
33 2 "CC Rhône Lez Provence"
34 1 "CA d'Arles-Crau-Camargue-Montagnette"
35 1 "CA d'Arles-Crau-Camargue-Montagnette"
36 1 "CA d'Arles-Crau-Camargue-Montagnette"
37 1 "CA d'Arles-Crau-Camargue-Montagnette"
38 1 "CA d'Arles-Crau-Camargue-Montagnette"
39 1 "CA d'Arles-Crau-Camargue-Montagnette"
40 1 "CA d'Arles-Crau-Camargue-Montagnette"
41 1 "CA d'Arles-Crau-Camargue-Montagnette"
42 1 "CA d'Arles-Crau-Camargue-Montagnette"
43 1 "CA d'Arles-Crau-Camargue-Montagnette"
44 1 "CA d'Arles-Crau-Camargue-Montagnette"
45 1 "CA d'Arles-Crau-Camargue-Montagnette"
46 1 "CA d'Arles-Crau-Camargue-Montagnette"
47 1 "CA d'Arles-Crau-Camargue-Montagnette"
48 2 "CC Rhône Lez Provence"
49 2 "CC Rhône Lez Provence"
50 2 "CC Rhône Lez Provence"
51 2 "CC Rhône Lez Provence"
52 1 "CA d'Arles-Crau-Camargue-Montagnette"
53 1 "CA d'Arles-Crau-Camargue-Montagnette"
54 1 "CA d'Arles-Crau-Camargue-Montagnette"
55 3 "CC Vallée des Baux-Alpilles (CC VBA)"
56 1 "CA d'Arles-Crau-Camargue-Montagnette"
57 3 "CC Vallée des Baux-Alpilles (CC VBA)"
58 1 "CA d'Arles-Crau-Camargue-Montagnette"
59 1 "CA d'Arles-Crau-Camargue-Montagnette"
60 1 "CA d'Arles-Crau-Camargue-Montagnette"
61 1 "CA d'Arles-Crau-Camargue-Montagnette"
62 1 "CA d'Arles-Crau-Camargue-Montagnette"
63 1 "CA d'Arles-Crau-Camargue-Montagnette"
64 1 "CA d'Arles-Crau-Camargue-Montagnette"
65 1 "CA d'Arles-Crau-Camargue-Montagnette"
66 1 "CA d'Arles-Crau-Camargue-Montagnette"
67 2 "CC Rhône Lez Provence"
68 2 "CC Rhône Lez Provence"
69 2 "CC Rhône Lez Provence"
70 2 "CC Rhône Lez Provence"
71 4 "CC Aygues-Ouvèze en Provence (CCAOP)"
72 4 "CC Aygues-Ouvèze en Provence (CCAOP)"
73 5 "CC du Pays Réuni d'Orange"
74 5 "CC du Pays Réuni d'Orange"
75 6 "CA Terre de Provence"
76 6 "CA Terre de Provence"
77 6 "CA Terre de Provence"
78 3 "CC Vallée des Baux-Alpilles (CC VBA)"
79 3 "CC Vallée des Baux-Alpilles (CC VBA)"
80 3 "CC Vallée des Baux-Alpilles (CC VBA)"
81 3 "CC Vallée des Baux-Alpilles (CC VBA)"
82 1 "CA d'Arles-Crau-Camargue-Montagnette"
83 1 "CA d'Arles-Crau-Camargue-Montagnette"
84 1 "CA d'Arles-Crau-Camargue-Montagnette"
85 1 "CA d'Arles-Crau-Camargue-Montagnette"
86 1 "CA d'Arles-Crau-Camargue-Montagnette"
87 1 "CA d'Arles-Crau-Camargue-Montagnette"
88 1 "CA d'Arles-Crau-Camargue-Montagnette"
89 7 "Métropole d'Aix-Marseille-Provence"
90 7 "Métropole d'Aix-Marseille-Provence"
91 2 "CC Rhône Lez Provence"
92 2 "CC Rhône Lez Provence"
93 4 "CC Aygues-Ouvèze en Provence (CCAOP)"
94 4 "CC Aygues-Ouvèze en Provence (CCAOP)"
95 5 "CC du Pays Réuni d'Orange"
96 5 "CC du Pays Réuni d'Orange"
97 5 "CC du Pays Réuni d'Orange"
98 5 "CC du Pays Réuni d'Orange"
