location subarea numcant
1 1 1330
2 1 1330
3 1 1330
4 1 1330
5 1 1330
6 1 1330
7 1 1330
8 1 1330
9 1 1330
10 1 1330
11 2 1398
12 2 1398
13 2 1398
14 2 1398
15 1 1330
16 2 1398
17 2 1398
18 2 1398
19 2 1398
20 2 1398
21 2 1398
22 2 1398
23 2 1398
24 2 1398
25 2 1398
26 2 1398
27 2 1398
28 2 1398
29 1 1330
30 1 1330
31 3 8406
32 3 8406
33 3 8406
34 4 1333
35 4 1333
36 4 1333
37 4 1333
38 2 1398
39 2 1398
40 2 1398
41 2 1398
42 2 1398
43 2 1398
44 2 1398
45 2 1398
46 2 1398
47 2 1398
48 3 8406
49 3 8406
50 3 8406
51 3 8406
52 4 1333
53 4 1333
54 4 1333
55 4 1333
56 4 1333
57 5 1303
58 2 1398
59 2 1398
60 2 1398
61 2 1398
62 2 1398
63 2 1398
64 2 1398
65 2 1398
66 2 1398
67 3 8406
68 3 8406
69 3 8406
70 3 8406
71 6 8417
72 6 8417
73 6 8417
74 6 8417
75 7 1307
76 7 1307
77 7 1307
78 4 1333
79 4 1333
80 5 1303
81 5 1303
82 2 1398
83 2 1398
84 2 1398
85 2 1398
86 2 1398
87 2 1398
88 2 1398
89 8 1328
90 8 1328
91 3 8406
92 3 8406
93 9 8416
94 6 8417
95 10 8499
96 10 8499
97 10 8499
98 6 8417
99 11 8497
100 7 1307
101 7 1307
102 12 1331
103 12 1331
104 12 1331
105 12 1331
106 12 1331
107 5 1303
108 5 1303
109 5 1303
110 5 1303
111 2 1398
112 2 1398
113 8 1328
114 2 1398
115 3 8406
116 9 8416
117 10 8499
118 10 8499
119 13 8405
120 6 8417
121 13 8405
122 11 8497
123 11 8497
124 7 1307
125 7 1307
126 7 1307
127 12 1331
128 12 1331
129 12 1331
130 12 1331
131 5 1303
132 5 1303
133 5 1303
134 2 1398
135 8 1328
136 8 1328
137 3 8406
138 3 8406
139 9 8416
140 9 8416
141 9 8416
142 13 8405
143 13 8405
144 13 8405
145 13 8405
146 13 8405
147 11 8497
148 11 8497
149 7 1307
150 7 1307
151 12 1331
152 12 1331
153 12 1331
154 14 1309
155 5 1303
156 5 1303
157 5 1303
158 15 1395
159 15 1395
160 5 1303
161 16 1349
162 17 8421
163 17 8421
164 9 8416
165 9 8416
166 9 8416
167 18 8409
168 13 8405
169 13 8405
170 19 8410
171 20 8413
172 20 8413
173 21 8411
174 22 1326
175 22 1326
176 22 1326
177 22 1326
178 22 1326
179 14 1309
180 14 1309
181 5 1303
182 15 1395
183 15 1395
184 15 1395
185 15 1395
186 16 1349
187 16 1349
188 17 8421
189 17 8421
190 23 8404
191 23 8404
192 18 8409
193 18 8409
194 19 8410
195 19 8410
196 19 8410
197 20 8413
198 20 8413
199 21 8411
200 21 8411
201 22 1326
202 22 1326
203 22 1326
204 22 1326
205 5 1303
206 5 1303
207 24 1332
208 15 1395
209 15 1395
210 15 1395
211 15 1395
212 15 1395
213 16 1349
214 25 1350
215 17 8421
216 17 8421
217 17 8421
218 23 8404
219 23 8404
220 23 8404
221 18 8409
222 26 8498
223 19 8410
224 27 8418
225 27 8418
226 20 8413
227 20 8413
228 21 8411
229 21 8411
230 22 1326
231 22 1326
232 14 1309
233 14 1309
234 24 1332
235 24 1332
236 28 1311
237 16 1349
238 29 1396
239 29 1396
240 17 8421
241 17 8421
242 17 8421
243 23 8404
244 23 8404
245 18 8409
246 18 8409
247 26 8498
248 26 8498
249 27 8418
250 27 8418
251 20 8413
252 20 8413
253 21 8411
254 21 8411
255 21 8411
256 22 1326
257 22 1326
258 14 1309
259 24 1332
260 24 1332
261 24 1332
262 30 1351
263 31 1306
264 29 1396
265 29 1396
266 17 8421
267 32 8414
268 32 8414
269 32 8414
270 18 8409
271 18 8409
272 19 8410
273 19 8410
274 27 8418
275 27 8418
276 20 8413
277 20 8413
278 21 8411
279 21 8411
280 21 8411
281 21 8411
282 22 1326
283 14 1309
284 24 1332
285 24 1332
286 24 1332
287 30 1351
288 31 1306
289 33 1348
290 33 1348
291 17 8421
292 17 8421
293 32 8414
294 32 8414
295 32 8414
296 34 8415
297 34 8415
298 19 8410
299 34 8415
300 27 8418
301 27 8418
302 20 8413
303 20 8413
304 35 8407
305 21 8411
306 21 8411
307 14 1309
308 14 1309
309 30 1351
310 30 1351
311 30 1351
312 30 1351
313 30 1351
314 31 1306
315 31 1306
316 33 1348
317 33 1348
318 32 8414
319 34 8415
320 34 8415
321 34 8415
322 34 8415
323 34 8415
324 27 8418
325 36 8412
326 36 8412
327 36 8412
328 35 8407
329 35 8407
330 37 8408
331 14 1309
332 14 1309
333 14 1309
334 30 1351
335 30 1351
