location subarea INSEE_COM
1 1 13096
2 1 13096
3 1 13096
4 1 13096
5 1 13096
6 1 13096
7 1 13096
8 1 13096
9 1 13096
10 1 13096
11 2 13004
12 2 13004
13 2 13004
14 2 13004
15 1 13096
16 2 13004
17 2 13004
18 2 13004
19 2 13004
20 2 13004
21 2 13004
22 2 13004
23 2 13004
24 2 13004
25 2 13004
26 2 13004
27 2 13004
28 2 13004
29 1 13096
30 1 13096
31 3 84064
32 4 84063
33 5 84078
34 6 13061
35 7 13108
36 7 13108
37 7 13108
38 2 13004
39 2 13004
40 2 13004
41 2 13004
42 2 13004
43 2 13004
44 2 13004
45 2 13004
46 2 13004
47 2 13004
48 3 84064
49 8 84019
50 5 84078
51 5 84078
52 9 13017
53 7 13108
54 7 13108
55 10 13094
56 7 13108
57 11 13038
58 2 13004
59 2 13004
60 2 13004
61 2 13004
62 2 13004
63 2 13004
64 2 13004
65 2 13004
66 2 13004
67 8 84019
68 8 84019
69 8 84019
70 12 84083
71 13 84091
72 13 84091
73 14 84027
74 14 84027
75 15 13010
76 15 13010
77 16 13045
78 10 13094
79 10 13094
80 11 13038
81 11 13038
82 2 13004
83 2 13004
84 2 13004
85 2 13004
86 2 13004
87 2 13004
88 2 13004
89 17 13078
90 17 13078
91 8 84019
92 5 84078
93 18 84135
94 13 84091
95 19 84087
96 19 84087
97 19 84087
98 20 84037
99 21 84007
100 22 13083
101 16 13045
102 23 13052
103 24 13100
104 24 13100
105 25 13011
106 26 13068
107 27 13097
108 27 13097
109 27 13097
110 27 13097
111 2 13004
112 2 13004
113 17 13078
114 2 13004
115 28 84061
116 29 84127
117 19 84087
118 19 84087
119 30 84039
120 20 84037
121 31 84129
122 21 84007
123 21 84007
124 32 13027
125 32 13027
126 33 13036
127 24 13100
128 24 13100
129 25 13011
130 34 13058
131 27 13097
132 27 13097
133 27 13097
134 2 13004
135 17 13078
136 17 13078
137 35 84106
138 35 84106
139 36 84134
140 37 84029
141 38 84056
142 30 84039
143 30 84039
144 31 84129
145 31 84129
146 39 84141
147 21 84007
148 21 84007
149 40 13066
150 40 13066
151 24 13100
152 24 13100
153 24 13100
154 41 13065
155 27 13097
156 27 13097
157 27 13097
158 42 13047
159 42 13047
160 27 13097
161 43 13039
162 44 84117
163 45 84028
164 36 84134
165 46 84149
166 38 84056
167 47 84122
168 48 84016
169 48 84016
170 49 84043
171 50 84119
172 51 84036
173 52 84034
174 53 13018
175 54 13089
176 55 13064
177 56 13034
178 56 13034
179 57 13006
180 41 13065
181 27 13097
182 42 13047
183 42 13047
184 42 13047
185 42 13047
186 43 13039
187 43 13039
188 58 84096
189 58 84096
190 59 84104
191 60 84136
192 47 84122
193 47 84122
194 61 84080
195 61 84080
196 62 84001
197 63 84132
198 63 84132
199 52 84034
200 52 84034
201 54 13089
202 55 13064
203 56 13034
204 56 13034
205 27 13097
206 27 13097
207 64 13103
208 42 13047
209 42 13047
210 42 13047
211 42 13047
212 42 13047
213 43 13039
214 65 13077
215 66 84022
216 67 84098
217 68 84126
218 59 84104
219 69 84049
220 70 84012
221 71 84004
222 72 84031
223 61 84080
224 73 84088
225 74 84142
226 63 84132
227 75 84054
228 76 84035
229 76 84035
230 77 13067
231 77 13067
232 78 13035
233 78 13035
234 64 13103
235 79 13044
236 80 13063
237 81 13098
238 82 13056
239 82 13056
240 83 84146
241 84 84137
242 84 84137
243 69 84049
244 85 84059
245 86 84109
246 71 84004
247 72 84031
248 72 84031
249 73 84088
250 74 84142
251 75 84054
252 75 84054
253 76 84035
254 76 84035
255 87 84038
256 77 13067
257 88 13105
258 89 13049
259 64 13103
260 64 13103
261 79 13044
