customer location distance
1 1 7.94
1 2 11.8
1 3 3.91
1 4 11.9
1 5 13.63
1 6 2.41
1 7 5.14
1 8 0.59
1 9 9.13
1 10 1.08
1 11 12.34
1 12 7.79
1 13 7.58
1 14 7.57
1 15 9.02
1 16 10.76
1 17 12.78
1 18 5.53
1 19 9.47
1 20 3.12
1 21 6.07
1 22 4.65
1 23 6.55
1 24 9.58
1 25 4.51
1 26 5.97
1 27 11.04
1 28 5.0
1 29 7.24
1 30 11.0
1 31 4.62
1 32 10.17
1 33 8.81
1 34 10.73
1 35 9.76
1 36 5.69
1 37 6.16
1 38 10.79
1 39 12.1
1 40 7.67
1 41 9.11
1 42 1.65
1 43 4.95
1 44 12.54
1 45 7.74
1 46 9.14
1 47 1.63
1 48 5.61
1 49 11.55
1 50 10.92
1 51 5.64
1 52 7.89
1 53 6.48
1 54 8.62
1 55 11.29
1 56 8.4
1 57 9.47
1 58 5.12
1 59 7.28
1 60 3.91
1 61 0.95
1 62 13.34
1 63 11.69
1 64 5.47
1 65 8.38
1 66 5.1
1 67 10.63
1 68 9.06
1 69 9.6
1 70 11.16
1 71 11.04
1 72 4.63
1 73 5.69
1 74 7.88
1 75 14.02
1 76 3.34
1 77 5.7
1 78 8.03
1 79 3.58
1 80 5.26
1 81 3.8
1 82 9.89
1 83 12.06
1 84 12.0
1 85 7.02
1 86 2.74
1 87 4.76
1 88 2.77
1 89 8.09
1 90 12.68
1 91 13.04
1 92 11.04
1 93 6.94
1 94 6.8
1 95 4.59
1 96 10.01
1 97 12.39
1 98 11.79
1 99 5.63
1 100 7.11
1 101 5.92
1 102 9.12
1 103 5.58
1 104 13.2
1 105 10.8
1 106 9.03
1 107 14.02
1 108 11.13
1 109 10.76
1 110 6.68
1 111 0.21
1 112 7.98
1 113 13.77
1 114 8.11
1 115 8.5
1 116 1.46
1 117 10.51
1 118 7.1
1 119 9.25
1 120 10.27
1 121 6.78
1 122 3.81
1 123 4.28
1 124 11.85
1 125 6.66
1 126 12.16
1 127 8.12
1 128 4.62
1 129 7.51
1 130 10.26
1 131 14.08
1 132 9.49
1 133 9.07
1 134 1.59
1 135 12.95
1 136 7.18
1 137 12.63
1 138 11.02
1 139 2.2
1 140 7.98
1 141 6.81
1 142 7.32
1 143 14.37
1 144 5.45
1 145 10.73
1 146 9.67
1 147 11.69
1 148 4.54
1 149 6.5
1 150 3.75
1 151 7.77
1 152 5.86
1 153 12.94
1 154 8.09
1 155 1.81
1 156 6.48
1 157 4.11
1 158 8.74
1 159 3.21
1 160 8.33
1 161 7.03
1 162 9.2
1 163 8.7
1 164 6.68
1 165 2.87
1 166 6.6
1 167 9.02
1 168 10.62
1 169 11.63
1 170 8.26
1 171 7.56
1 172 14.39
1 173 1.88
1 174 3.39
1 175 5.51
1 176 10.14
1 177 11.44
1 178 0.27
1 179 5.39
1 180 12.45
1 181 11.2
1 182 5.23
1 183 6.97
1 184 7.63
1 185 3.67
1 186 8.44
1 187 13.13
1 188 4.78
1 189 7.24
1 190 12.1
1 191 10.37
1 192 11.8
1 193 9.44
1 194 14.73
1 195 11.21
1 196 9.06
1 197 12.0
1 198 8.9
1 199 10.85
1 200 13.86
1 201 6.85
1 202 11.24
1 203 7.36
1 204 10.07
1 205 14.67
1 206 12.29
1 207 9.2
1 208 11.82
1 209 9.94
1 210 8.72
1 211 12.9
1 212 10.35
1 213 10.14
1 214 13.22
1 215 7.14
1 216 5.98
2 1 7.81
2 2 11.04
2 3 3.11
2 4 11.11
2 5 13.02
2 6 2.24
2 7 5.01
2 8 0.71
2 9 8.48
2 10 0.87
2 11 11.49
2 12 6.8
2 13 6.71
2 14 7.32
2 15 9.01
2 16 10.09
2 17 12.21
2 18 4.53
2 19 8.74
2 20 3.21
2 21 5.17
2 22 4.38
2 23 5.56
2 24 8.87
2 25 3.51
2 26 5.89
2 27 11.06
2 28 4.29
2 29 6.41
2 30 10.0
2 31 3.75
2 32 9.6
2 33 7.9
2 34 10.13
2 35 8.78
2 36 5.28
2 37 5.46
2 38 9.84
2 39 11.5
2 40 6.78
2 41 8.38
2 42 2.05
2 43 4.1
2 44 11.74
2 45 6.74
2 46 8.14
2 47 1.73
2 48 5.49
2 49 10.59
2 50 10.76
2 51 4.71
2 52 7.21
2 53 5.61
2 54 7.63
2 55 11.15
2 56 7.43
2 57 8.5
2 58 4.94
2 59 7.01
2 60 3.87
2 61 1.38
2 62 12.73
2 63 10.98
2 64 4.47
2 65 7.5
2 66 4.78
2 67 9.71
2 68 8.95
2 69 9.42
2 70 10.83
2 71 11.05
2 72 3.7
2 73 5.44
2 74 6.88
2 75 13.34
2 76 2.68
2 77 5.5
2 78 7.35
2 79 3.74
2 80 5.28
2 81 3.68
2 82 9.32
2 83 11.4
2 84 11.13
2 85 6.08
2 86 1.9
2 87 4.8
2 88 2.83
2 89 7.9
2 90 12.04
2 91 12.53
2 92 10.04
2 93 5.94
2 94 5.95
2 95 3.71
2 96 9.77
2 97 11.94
2 98 11.1
2 99 4.69
2 100 6.86
2 101 4.93
2 102 8.81
2 103 4.58
