subarea p1x p1y p2x p2y p3x p3y p4x p4y
0 0.0 12.0 2.0 12.0 0.0 10.0 2.0 10.0
1 2.0 12.0 4.0 12.0 2.0 10.0 4.0 10.0
2 4.0 12.0 6.0 12.0 4.0 10.0 6.0 10.0
3 6.0 12.0 8.0 12.0 6.0 10.0 8.0 10.0
4 8.0 12.0 10.0 12.0 8.0 10.0 10.0 10.0
5 10.0 12.0 12.0 12.0 10.0 10.0 12.0 10.0
6 0.0 10.0 2.0 10.0 0.0 8.0 2.0 8.0
7 2.0 10.0 4.0 10.0 2.0 8.0 4.0 8.0
8 4.0 10.0 6.0 10.0 4.0 8.0 6.0 8.0
9 6.0 10.0 8.0 10.0 6.0 8.0 8.0 8.0
10 8.0 10.0 10.0 10.0 8.0 8.0 10.0 8.0
11 10.0 10.0 12.0 10.0 10.0 8.0 12.0 8.0
12 0.0 8.0 2.0 8.0 0.0 6.0 2.0 6.0
13 2.0 8.0 4.0 8.0 2.0 6.0 4.0 6.0
14 4.0 8.0 6.0 8.0 4.0 6.0 6.0 6.0
15 6.0 8.0 8.0 8.0 6.0 6.0 8.0 6.0
16 8.0 8.0 10.0 8.0 8.0 6.0 10.0 6.0
17 10.0 8.0 12.0 8.0 10.0 6.0 12.0 6.0
18 0.0 6.0 2.0 6.0 0.0 4.0 2.0 4.0
19 2.0 6.0 4.0 6.0 2.0 4.0 4.0 4.0
20 4.0 6.0 6.0 6.0 4.0 4.0 6.0 4.0
21 6.0 6.0 8.0 6.0 6.0 4.0 8.0 4.0
22 8.0 6.0 10.0 6.0 8.0 4.0 10.0 4.0
23 10.0 6.0 12.0 6.0 10.0 4.0 12.0 4.0
24 0.0 4.0 2.0 4.0 0.0 2.0 2.0 2.0
25 2.0 4.0 4.0 4.0 2.0 2.0 4.0 2.0
26 4.0 4.0 6.0 4.0 4.0 2.0 6.0 2.0
27 6.0 4.0 8.0 4.0 6.0 2.0 8.0 2.0
28 8.0 4.0 10.0 4.0 8.0 2.0 10.0 2.0
29 10.0 4.0 12.0 4.0 10.0 2.0 12.0 2.0
30 0.0 2.0 2.0 2.0 0.0 0.0 2.0 0.0
31 2.0 2.0 4.0 2.0 2.0 0.0 4.0 0.0
32 4.0 2.0 6.0 2.0 4.0 0.0 6.0 0.0
33 6.0 2.0 8.0 2.0 6.0 0.0 8.0 0.0
34 8.0 2.0 10.0 2.0 8.0 0.0 10.0 0.0
35 10.0 2.0 12.0 2.0 10.0 0.0 12.0 0.0
