customer weight Xc Yc
1 3.57 0.5 11.5
2 4.13 1.5 11.5
3 3.69 2.5 11.5
4 4.53 3.5 11.5
5 2.31 4.5 11.5
6 2.51 5.5 11.5
7 2.17 6.5 11.5
8 1.28 7.5 11.5
9 1.0 8.5 11.5
10 1.0 9.5 11.5
11 1.0 10.5 11.5
12 1.0 11.5 11.5
13 3.6 0.5 10.5
14 3.46 1.5 10.5
15 4.19 2.5 10.5
16 4.56 3.5 10.5
17 3.12 4.5 10.5
18 2.0 5.5 10.5
19 1.63 6.5 10.5
20 1.13 7.5 10.5
21 1.0 8.5 10.5
22 1.0 9.5 10.5
23 1.0 10.5 10.5
24 1.0 11.5 10.5
25 6.0 0.5 9.5
26 5.96 1.5 9.5
27 5.74 2.5 9.5
28 5.63 3.5 9.5
29 4.26 4.5 9.5
30 3.94 5.5 9.5
31 2.97 6.5 9.5
32 2.47 7.5 9.5
33 1.51 8.5 9.5
34 1.48 9.5 9.5
35 1.23 10.5 9.5
36 1.15 11.5 9.5
37 5.62 0.5 8.5
38 6.0 1.5 8.5
39 5.81 2.5 8.5
40 3.17 3.5 8.5
41 3.64 4.5 8.5
42 3.26 5.5 8.5
43 3.56 6.5 8.5
44 3.06 7.5 8.5
45 2.89 8.5 8.5
46 2.15 9.5 8.5
47 1.74 10.5 8.5
48 1.3 11.5 8.5
49 5.1 0.5 7.5
50 5.01 1.5 7.5
51 5.5 2.5 7.5
52 3.71 3.5 7.5
53 2.85 4.5 7.5
54 1.82 5.5 7.5
55 3.28 6.5 7.5
56 2.3 7.5 7.5
57 1.71 8.5 7.5
58 2.15 9.5 7.5
59 1.47 10.5 7.5
60 1.18 11.5 7.5
61 4.6 0.5 6.5
62 4.49 1.5 6.5
63 3.25 2.5 6.5
64 3.31 3.5 6.5
65 2.65 4.5 6.5
66 2.76 5.5 6.5
67 2.01 6.5 6.5
68 2.83 7.5 6.5
69 1.5 8.5 6.5
70 2.01 9.5 6.5
71 2.04 10.5 6.5
72 1.55 11.5 6.5
73 2.68 0.5 5.5
74 2.55 1.5 5.5
75 4.14 2.5 5.5
76 2.17 3.5 5.5
77 3.19 4.5 5.5
78 2.68 5.5 5.5
79 2.82 6.5 5.5
80 1.57 7.5 5.5
81 2.77 8.5 5.5
82 4.72 9.5 5.5
83 3.96 10.5 5.5
84 4.11 11.5 5.5
85 4.57 0.5 4.5
86 3.31 1.5 4.5
87 3.88 2.5 4.5
88 3.96 3.5 4.5
89 5.16 4.5 4.5
90 5.04 5.5 4.5
91 3.26 6.5 4.5
92 2.45 7.5 4.5
93 2.61 8.5 4.5
94 4.08 9.5 4.5
95 5.07 10.5 4.5
96 5.14 11.5 4.5
97 3.44 0.5 3.5
98 5.44 1.5 3.5
99 5.04 2.5 3.5
100 5.21 3.5 3.5
101 2.93 4.5 3.5
102 4.85 5.5 3.5
103 4.43 6.5 3.5
104 4.16 7.5 3.5
105 3.77 8.5 3.5
106 4.04 9.5 3.5
107 5.92 10.5 3.5
108 6.0 11.5 3.5
109 5.05 0.5 2.5
110 5.72 1.5 2.5
111 6.0 2.5 2.5
112 5.54 3.5 2.5
113 4.29 4.5 2.5
114 4.28 5.5 2.5
115 3.15 6.5 2.5
116 2.93 7.5 2.5
117 3.93 8.5 2.5
118 2.98 9.5 2.5
119 5.73 10.5 2.5
120 5.68 11.5 2.5
121 4.29 0.5 1.5
122 5.56 1.5 1.5
123 5.46 2.5 1.5
124 5.65 3.5 1.5
125 5.25 4.5 1.5
126 4.9 5.5 1.5
127 3.43 6.5 1.5
128 2.73 7.5 1.5
129 2.39 8.5 1.5
130 3.58 9.5 1.5
131 3.07 10.5 1.5
132 4.02 11.5 1.5
133 3.31 0.5 0.5
134 5.44 1.5 0.5
135 4.64 2.5 0.5
136 4.36 3.5 0.5
137 4.32 4.5 0.5
138 3.49 5.5 0.5
139 3.99 6.5 0.5
140 2.5 7.5 0.5
141 2.3 8.5 0.5
142 2.67 9.5 0.5
143 2.24 10.5 0.5
144 2.67 11.5 0.5
