customer p1x p1y p2x p2y p3x p3y p4x p4y
1 0.0 44.0 1.0 44.0 0.0 43.0 1.0 43.0
2 1.0 44.0 2.0 44.0 1.0 43.0 2.0 43.0
3 2.0 44.0 3.0 44.0 2.0 43.0 3.0 43.0
4 3.0 44.0 4.0 44.0 3.0 43.0 4.0 43.0
5 4.0 44.0 5.0 44.0 4.0 43.0 5.0 43.0
6 5.0 44.0 6.0 44.0 5.0 43.0 6.0 43.0
7 6.0 44.0 7.0 44.0 6.0 43.0 7.0 43.0
8 7.0 44.0 8.0 44.0 7.0 43.0 8.0 43.0
9 8.0 44.0 9.0 44.0 8.0 43.0 9.0 43.0
10 9.0 44.0 10.0 44.0 9.0 43.0 10.0 43.0
11 10.0 44.0 11.0 44.0 10.0 43.0 11.0 43.0
12 11.0 44.0 12.0 44.0 11.0 43.0 12.0 43.0
13 12.0 44.0 13.0 44.0 12.0 43.0 13.0 43.0
14 13.0 44.0 14.0 44.0 13.0 43.0 14.0 43.0
15 14.0 44.0 15.0 44.0 14.0 43.0 15.0 43.0
16 15.0 44.0 16.0 44.0 15.0 43.0 16.0 43.0
17 16.0 44.0 17.0 44.0 16.0 43.0 17.0 43.0
18 17.0 44.0 18.0 44.0 17.0 43.0 18.0 43.0
19 18.0 44.0 19.0 44.0 18.0 43.0 19.0 43.0
20 19.0 44.0 20.0 44.0 19.0 43.0 20.0 43.0
21 20.0 44.0 21.0 44.0 20.0 43.0 21.0 43.0
22 21.0 44.0 22.0 44.0 21.0 43.0 22.0 43.0
23 22.0 44.0 23.0 44.0 22.0 43.0 23.0 43.0
24 23.0 44.0 24.0 44.0 23.0 43.0 24.0 43.0
25 24.0 44.0 25.0 44.0 24.0 43.0 25.0 43.0
26 25.0 44.0 26.0 44.0 25.0 43.0 26.0 43.0
27 26.0 44.0 27.0 44.0 26.0 43.0 27.0 43.0
28 27.0 44.0 28.0 44.0 27.0 43.0 28.0 43.0
29 28.0 44.0 29.0 44.0 28.0 43.0 29.0 43.0
30 29.0 44.0 30.0 44.0 29.0 43.0 30.0 43.0
31 30.0 44.0 31.0 44.0 30.0 43.0 31.0 43.0
32 31.0 44.0 32.0 44.0 31.0 43.0 32.0 43.0
33 32.0 44.0 33.0 44.0 32.0 43.0 33.0 43.0
34 33.0 44.0 34.0 44.0 33.0 43.0 34.0 43.0
35 34.0 44.0 35.0 44.0 34.0 43.0 35.0 43.0
36 35.0 44.0 36.0 44.0 35.0 43.0 36.0 43.0
37 36.0 44.0 37.0 44.0 36.0 43.0 37.0 43.0
38 37.0 44.0 38.0 44.0 37.0 43.0 38.0 43.0
39 38.0 44.0 39.0 44.0 38.0 43.0 39.0 43.0
40 39.0 44.0 40.0 44.0 39.0 43.0 40.0 43.0
41 40.0 44.0 41.0 44.0 40.0 43.0 41.0 43.0
42 41.0 44.0 42.0 44.0 41.0 43.0 42.0 43.0
43 42.0 44.0 43.0 44.0 42.0 43.0 43.0 43.0
44 43.0 44.0 44.0 44.0 43.0 43.0 44.0 43.0
45 0.0 43.0 1.0 43.0 0.0 42.0 1.0 42.0
46 1.0 43.0 2.0 43.0 1.0 42.0 2.0 42.0
47 2.0 43.0 3.0 43.0 2.0 42.0 3.0 42.0
48 3.0 43.0 4.0 43.0 3.0 42.0 4.0 42.0
49 4.0 43.0 5.0 43.0 4.0 42.0 5.0 42.0
50 5.0 43.0 6.0 43.0 5.0 42.0 6.0 42.0
51 6.0 43.0 7.0 43.0 6.0 42.0 7.0 42.0
52 7.0 43.0 8.0 43.0 7.0 42.0 8.0 42.0
53 8.0 43.0 9.0 43.0 8.0 42.0 9.0 42.0
54 9.0 43.0 10.0 43.0 9.0 42.0 10.0 42.0
55 10.0 43.0 11.0 43.0 10.0 42.0 11.0 42.0
56 11.0 43.0 12.0 43.0 11.0 42.0 12.0 42.0
57 12.0 43.0 13.0 43.0 12.0 42.0 13.0 42.0
58 13.0 43.0 14.0 43.0 13.0 42.0 14.0 42.0
59 14.0 43.0 15.0 43.0 14.0 42.0 15.0 42.0
60 15.0 43.0 16.0 43.0 15.0 42.0 16.0 42.0
61 16.0 43.0 17.0 43.0 16.0 42.0 17.0 42.0
62 17.0 43.0 18.0 43.0 17.0 42.0 18.0 42.0
63 18.0 43.0 19.0 43.0 18.0 42.0 19.0 42.0
64 19.0 43.0 20.0 43.0 19.0 42.0 20.0 42.0
65 20.0 43.0 21.0 43.0 20.0 42.0 21.0 42.0
66 21.0 43.0 22.0 43.0 21.0 42.0 22.0 42.0
67 22.0 43.0 23.0 43.0 22.0 42.0 23.0 42.0
68 23.0 43.0 24.0 43.0 23.0 42.0 24.0 42.0
69 24.0 43.0 25.0 43.0 24.0 42.0 25.0 42.0
70 25.0 43.0 26.0 43.0 25.0 42.0 26.0 42.0
71 26.0 43.0 27.0 43.0 26.0 42.0 27.0 42.0
72 27.0 43.0 28.0 43.0 27.0 42.0 28.0 42.0
73 28.0 43.0 29.0 43.0 28.0 42.0 29.0 42.0
74 29.0 43.0 30.0 43.0 29.0 42.0 30.0 42.0
75 30.0 43.0 31.0 43.0 30.0 42.0 31.0 42.0
76 31.0 43.0 32.0 43.0 31.0 42.0 32.0 42.0
77 32.0 43.0 33.0 43.0 32.0 42.0 33.0 42.0
78 33.0 43.0 34.0 43.0 33.0 42.0 34.0 42.0
79 34.0 43.0 35.0 43.0 34.0 42.0 35.0 42.0
80 35.0 43.0 36.0 43.0 35.0 42.0 36.0 42.0
81 36.0 43.0 37.0 43.0 36.0 42.0 37.0 42.0
82 37.0 43.0 38.0 43.0 37.0 42.0 38.0 42.0
83 38.0 43.0 39.0 43.0 38.0 42.0 39.0 42.0
84 39.0 43.0 40.0 43.0 39.0 42.0 40.0 42.0
85 40.0 43.0 41.0 43.0 40.0 42.0 41.0 42.0
86 41.0 43.0 42.0 43.0 41.0 42.0 42.0 42.0
87 42.0 43.0 43.0 43.0 42.0 42.0 43.0 42.0
88 43.0 43.0 44.0 43.0 43.0 42.0 44.0 42.0
89 0.0 42.0 1.0 42.0 0.0 41.0 1.0 41.0
90 1.0 42.0 2.0 42.0 1.0 41.0 2.0 41.0
91 2.0 42.0 3.0 42.0 2.0 41.0 3.0 41.0
92 3.0 42.0 4.0 42.0 3.0 41.0 4.0 41.0
93 4.0 42.0 5.0 42.0 4.0 41.0 5.0 41.0
94 5.0 42.0 6.0 42.0 5.0 41.0 6.0 41.0
95 6.0 42.0 7.0 42.0 6.0 41.0 7.0 41.0
96 7.0 42.0 8.0 42.0 7.0 41.0 8.0 41.0
97 8.0 42.0 9.0 42.0 8.0 41.0 9.0 41.0
98 9.0 42.0 10.0 42.0 9.0 41.0 10.0 41.0
99 10.0 42.0 11.0 42.0 10.0 41.0 11.0 41.0
100 11.0 42.0 12.0 42.0 11.0 41.0 12.0 41.0
101 12.0 42.0 13.0 42.0 12.0 41.0 13.0 41.0
102 13.0 42.0 14.0 42.0 13.0 41.0 14.0 41.0
103 14.0 42.0 15.0 42.0 14.0 41.0 15.0 41.0
104 15.0 42.0 16.0 42.0 15.0 41.0 16.0 41.0
105 16.0 42.0 17.0 42.0 16.0 41.0 17.0 41.0
106 17.0 42.0 18.0 42.0 17.0 41.0 18.0 41.0
107 18.0 42.0 19.0 42.0 18.0 41.0 19.0 41.0
108 19.0 42.0 20.0 42.0 19.0 41.0 20.0 41.0
109 20.0 42.0 21.0 42.0 20.0 41.0 21.0 41.0
110 21.0 42.0 22.0 42.0 21.0 41.0 22.0 41.0
111 22.0 42.0 23.0 42.0 22.0 41.0 23.0 41.0
112 23.0 42.0 24.0 42.0 23.0 41.0 24.0 41.0
113 24.0 42.0 25.0 42.0 24.0 41.0 25.0 41.0
114 25.0 42.0 26.0 42.0 25.0 41.0 26.0 41.0
115 26.0 42.0 27.0 42.0 26.0 41.0 27.0 41.0
116 27.0 42.0 28.0 42.0 27.0 41.0 28.0 41.0
117 28.0 42.0 29.0 42.0 28.0 41.0 29.0 41.0
118 29.0 42.0 30.0 42.0 29.0 41.0 30.0 41.0
119 30.0 42.0 31.0 42.0 30.0 41.0 31.0 41.0
120 31.0 42.0 32.0 42.0 31.0 41.0 32.0 41.0
121 32.0 42.0 33.0 42.0 32.0 41.0 33.0 41.0
122 33.0 42.0 34.0 42.0 33.0 41.0 34.0 41.0
123 34.0 42.0 35.0 42.0 34.0 41.0 35.0 41.0
124 35.0 42.0 36.0 42.0 35.0 41.0 36.0 41.0
125 36.0 42.0 37.0 42.0 36.0 41.0 37.0 41.0
126 37.0 42.0 38.0 42.0 37.0 41.0 38.0 41.0
127 38.0 42.0 39.0 42.0 38.0 41.0 39.0 41.0
128 39.0 42.0 40.0 42.0 39.0 41.0 40.0 41.0
129 40.0 42.0 41.0 42.0 40.0 41.0 41.0 41.0
130 41.0 42.0 42.0 42.0 41.0 41.0 42.0 41.0
131 42.0 42.0 43.0 42.0 42.0 41.0 43.0 41.0
132 43.0 42.0 44.0 42.0 43.0 41.0 44.0 41.0
133 0.0 41.0 1.0 41.0 0.0 40.0 1.0 40.0
134 1.0 41.0 2.0 41.0 1.0 40.0 2.0 40.0
135 2.0 41.0 3.0 41.0 2.0 40.0 3.0 40.0
136 3.0 41.0 4.0 41.0 3.0 40.0 4.0 40.0
137 4.0 41.0 5.0 41.0 4.0 40.0 5.0 40.0
138 5.0 41.0 6.0 41.0 5.0 40.0 6.0 40.0
139 6.0 41.0 7.0 41.0 6.0 40.0 7.0 40.0
140 7.0 41.0 8.0 41.0 7.0 40.0 8.0 40.0
141 8.0 41.0 9.0 41.0 8.0 40.0 9.0 40.0
142 9.0 41.0 10.0 41.0 9.0 40.0 10.0 40.0
143 10.0 41.0 11.0 41.0 10.0 40.0 11.0 40.0
144 11.0 41.0 12.0 41.0 11.0 40.0 12.0 40.0
145 12.0 41.0 13.0 41.0 12.0 40.0 13.0 40.0
146 13.0 41.0 14.0 41.0 13.0 40.0 14.0 40.0
147 14.0 41.0 15.0 41.0 14.0 40.0 15.0 40.0
148 15.0 41.0 16.0 41.0 15.0 40.0 16.0 40.0
149 16.0 41.0 17.0 41.0 16.0 40.0 17.0 40.0
150 17.0 41.0 18.0 41.0 17.0 40.0 18.0 40.0
151 18.0 41.0 19.0 41.0 18.0 40.0 19.0 40.0
