location capacity Xf Yf
1 31.273 11.129 16.421
2 22.858 13.547 3.676
3 63.01 2.11 2.093
4 69.227 18.964 11.167
5 50.055 2.126 16.87
6 65.288 11.222 2.527
7 15.899 3.08 7.039
8 30.927 14.783 14.583
9 25.717 15.044 6.625
10 52.929 11.24 6.859
11 30.76 14.362 4.833
12 30.01 0.706 18.585
13 27.781 16.785 4.582
14 18.419 11.205 9.142
15 39.559 4.205 2.748
16 69.163 2.527 13.561
17 48.191 16.667 15.731
18 43.371 12.385 5.061
19 35.206 5.341 18.866
20 28.329 16.731 13.419
21 29.643 7.452 2.291
22 57.175 17.296 7.742
23 63.976 13.61 5.576
24 42.607 19.748 9.368
25 58.21 17.896 3.22
26 26.717 17.167 3.082
27 69.68 13.747 0.989
28 37.636 14.585 14.824
29 32.7 16.07 9.736
30 15.653 8.397 7.901
31 49.987 10.138 16.383
32 17.552 17.637 12.312
33 56.755 1.471 16.197
34 71.411 13.278 2.864
35 65.829 2.577 14.637
36 42.268 2.339 7.813
37 44.545 16.503 13.713
38 48.454 14.519 10.984
39 38.069 4.945 5.609
40 58.187 4.78 5.536
41 30.194 8.233 9.015
42 59.784 13.451 16.333
43 57.019 12.07 17.378
44 48.302 8.725 12.944
45 43.981 19.721 11.639
46 20.092 6.311 15.113
47 41.837 6.865 5.17
48 62.298 14.605 12.783
49 44.319 0.504 14.295
50 39.433 17.098 1.772
51 16.497 11.29 9.467
52 57.084 15.399 12.931
53 29.43 19.333 16.815
54 58.878 18.175 10.362
55 22.112 18.61 1.796
56 42.013 13.742 14.242
57 43.649 6.159 6.909
58 47.723 11.185 10.829
59 26.842 15.091 13.577
60 40.978 19.697 15.606
61 36.705 17.802 8.871
62 50.561 17.131 1.873
63 30.389 17.485 6.277
64 25.731 1.2 3.508
65 31.318 17.256 14.936
66 14.963 19.466 17.152
67 47.683 8.015 7.354
68 38.587 7.42 5.699
69 61.88 9.59 5.034
70 31.093 10.694 17.764
71 15.304 7.46 7.81
72 40.833 2.192 3.942
73 37.21 4.687 4.041
74 51.309 12.125 3.945
75 69.348 6.087 15.103
76 48.244 10.317 3.8
77 22.312 15.892 6.788
78 29.119 4.397 14.542
79 33.348 14.405 19.039
80 50.686 18.442 15.702
81 54.403 17.625 0.812
82 49.776 13.739 12.914
83 66.074 8.097 10.283
84 35.347 11.098 3.036
85 43.332 4.552 16.859
86 33.856 6.74 11.52
87 40.731 11.995 6.106
88 45.273 8.435 7.163
89 19.002 6.194 16.809
90 36.499 16.229 1.065
91 34.749 16.671 4.261
92 42.056 2.463 7.968
93 46.3 12.877 19.1
94 44.73 18.663 10.586
95 28.336 2.647 2.413
96 31.818 11.188 17.862
97 68.493 0.435 1.642
98 70.499 2.77 1.159
99 65.201 17.131 15.585
100 47.049 1.891 13.611
101 62.219 11.029 2.1
102 57.428 18.014 0.576
103 68.875 16.593 6.157
104 63.88 12.463 8.994
105 31.358 12.039 19.01
106 15.186 19.051 17.233
107 61.228 18.865 11.645
108 16.022 14.816 10.288
109 52.462 10.375 10.308
110 51.313 0.823 13.383
111 49.267 18.922 15.865
112 16.663 8.753 14.089
113 51.733 16.888 16.23
114 25.244 4.061 13.223
115 55.877 4.709 4.753
116 35.036 2.506 11.775
117 54.133 7.196 19.371
118 31.469 4.618 16.215
119 48.87 1.382 13.031
120 51.628 10.537 0.994
121 57.922 8.695 19.26
122 38.869 8.075 15.953
123 61.727 3.535 17.783
124 52.638 9.342 1.551
125 20.082 5.629 14.366
126 28.542 6.35 1.69
127 66.764 4.17 18.388
128 35.657 9.832 15.458
129 45.056 5.963 11.32
130 49.675 3.21 2.351
131 39.775 4.622 9.264
132 51.817 18.842 0.625
133 62.809 3.552 11.458
134 27.448 5.126 16.914
135 21.446 4.175 8.882
136 27.534 10.24 3.119
137 18.713 10.353 1.921
138 43.256 19.624 6.267
139 25.153 18.698 6.945
140 17.589 0.618 4.263
141 20.915 6.948 2.817
142 32.3 2.079 10.931
143 18.768 10.136 5.16
144 14.819 13.09 6.424
145 70.69 19.418 7.38
146 60.15 7.331 16.467
147 48.079 12.842 1.828
148 22.194 16.033 7.718
149 37.993 1.318 9.415
150 61.558 1.102 8.991
151 20.159 0.939 7.804
152 19.816 11.297 2.752
153 28.767 0.998 0.97
154 33.735 10.157 7.354
155 44.216 16.686 17.122
156 63.911 14.23 2.867
157 47.837 6.802 19.666
158 16.594 2.879 2.393
159 30.429 6.958 12.528
160 20.62 4.036 10.969
161 36.31 0.561 15.579
162 30.287 2.771 12.898
163 14.909 19.212 8.647
164 25.227 18.602 1.998
165 64.785 8.627 9.989
166 38.184 19.372 17.999
167 19.207 13.264 8.429
168 44.832 5.521 6.798
169 41.089 7.156 1.271
170 34.419 19.159 13.484
171 73.245 15.392 11.366
172 22.904 13.117 2.331
173 57.661 6.866 14.568
174 25.935 12.981 4.894
175 41.059 7.015 2.675
176 19.655 7.755 9.357
177 41.196 9.719 7.142
178 21.108 8.32 10.197
179 38.369 12.509 19.442
180 23.63 16.439 16.418
181 51.518 2.413 4.801
182 38.263 10.485 1.45
183 24.784 18.399 19.353
184 30.245 4.231 1.833
185 18.117 13.198 18.506
186 40.721 5.716 13.65
187 46.372 7.354 12.868
188 53.869 14.069 1.523
189 15.055 2.949 18.399
190 37.932 15.546 13.91
191 18.148 1.127 17.325
192 52.374 0.718 17.356
193 41.934 16.273 16.209
194 41.046 11.619 8.797
195 32.824 8.072 14.293
196 25.823 11.584 7.61
197 24.307 15.215 18.362
198 50.141 4.491 1.879
199 62.3 13.924 3.061
200 40.338 18.641 12.375
201 60.731 17.796 17.586
202 72.325 8.656 18.051
203 52.497 7.85 13.897
204 52.355 11.421 2.001
205 72.488 4.857 2.356
206 38.9 3.558 13.685
207 20.173 12.547 17.563
208 29.782 7.814 16.993
209 66.705 0.497 17.565
210 45.704 19.705 15.159
211 65.612 8.75 8.897
212 53.752 17.84 12.255
213 52.255 6.339 5.301
214 14.844 2.609 14.279
