location capacity Xf Yf
1 7.93 3.246 1.965
2 13.21 8.371 17.659
3 2.64 9.052 14.887
4 5.29 1.388 22.988
5 5.29 23.24 17.56
6 5.29 12.727 3.597
7 13.21 7.286 14.252
8 7.93 11.384 11.081
9 2.64 12.636 16.629
10 13.21 15.483 23.095
11 10.57 4.741 5.519
12 2.64 12.19 1.143
13 7.93 9.825 6.182
14 5.29 7.062 15.747
15 13.21 13.668 5.622
16 10.57 3.529 21.993
17 5.29 16.334 0.677
18 13.21 17.377 11.016
19 13.21 5.143 12.867
20 13.21 4.543 1.197
21 13.21 16.404 18.446
22 10.57 20.801 11.423
23 10.57 20.389 20.862
24 2.64 0.614 1.764
25 13.21 21.363 22.793
26 7.93 2.754 2.979
27 10.57 13.984 17.71
28 7.93 23.764 13.133
29 7.93 21.722 8.897
30 5.29 3.932 13.586
31 10.57 23.196 3.071
32 5.29 2.008 1.442
33 7.93 6.458 6.235
34 13.21 20.998 21.831
35 2.64 17.013 5.54
36 7.93 4.473 0.654
37 7.93 10.229 6.046
38 10.57 15.859 6.672
39 2.64 5.795 15.444
40 10.57 21.165 2.938
41 2.64 3.245 20.788
42 7.93 21.503 13.106
43 2.64 3.583 11.68
44 13.21 17.09 14.967
45 5.29 12.37 17.126
46 13.21 11.864 12.076
47 2.64 10.26 5.979
48 13.21 1.003 7.289
49 13.21 10.18 20.079
50 5.29 0.767 4.07
51 7.93 9.366 19.637
52 7.93 14.387 16.233
53 5.29 9.718 6.115
54 13.21 23.48 12.597
55 13.21 13.239 3.26
56 2.64 7.481 0.599
57 5.29 8.583 23.508
58 2.64 2.382 15.123
59 13.21 4.051 2.563
60 7.93 7.259 16.416
61 2.64 2.747 15.615
62 2.64 11.241 16.798
63 7.93 4.696 1.037
64 7.93 10.89 11.434
65 10.57 14.479 3.711
66 7.93 23.578 13.511
67 5.29 17.985 9.081
68 7.93 19.459 8.671
69 13.21 6.068 14.779
70 5.29 16.088 10.415
71 10.57 9.864 11.263
72 5.29 16.667 23.576
73 7.93 23.475 22.607
74 13.21 23.629 21.659
75 10.57 22.119 22.808
76 5.29 17.271 9.625
77 2.64 12.779 1.258
78 7.93 2.309 2.718
79 5.29 16.132 21.109
80 13.21 14.358 1.178
81 13.21 8.754 20.686
82 7.93 21.678 6.023
83 7.93 16.9 13.86
84 7.93 6.813 14.108
85 7.93 5.445 20.864
86 5.29 6.073 2.76
87 13.21 4.094 10.429
88 5.29 11.67 6.606
89 13.21 4.969 22.055
90 13.21 23.55 8.088
91 2.64 0.963 19.895
92 10.57 7.5 6.585
93 2.64 15.558 1.355
94 2.64 19.694 9.712
95 13.21 20.739 12.462
96 2.64 22.115 10.816
97 5.29 15.549 20.679
98 13.21 3.919 22.581
99 10.57 3.113 13.579
100 10.57 10.924 16.895
101 13.21 7.112 17.364
102 5.29 6.502 12.152
103 2.64 7.848 11.75
104 2.64 8.488 14.172
105 13.21 16.224 15.446
106 10.57 21.486 21.812
107 10.57 6.577 5.245
108 5.29 21.929 18.073
109 7.93 20.491 9.306
110 5.29 19.979 3.086
111 7.93 15.543 5.605
112 7.93 2.975 0.424
113 10.57 6.377 4.915
114 10.57 16.832 3.245
115 10.57 3.011 18.157
116 2.64 17.137 1.743
117 10.57 17.035 13.239
118 5.29 20.151 9.942
119 7.93 22.164 5.044
120 2.64 15.585 11.576
121 2.64 17.345 3.483
122 10.57 2.972 21.871
123 13.21 10.983 8.288
124 5.29 0.716 18.469
125 2.64 13.078 0.968
126 13.21 5.984 1.288
127 2.64 22.987 21.318
128 2.64 11.326 18.083
129 13.21 13.225 6.206
130 7.93 14.077 11.046
131 7.93 0.232 13.89
132 2.64 19.025 18.463
133 2.64 10.468 17.758
134 5.29 1.841 15.835
135 13.21 8.784 7.251
136 13.21 17.825 18.892
137 13.21 8.825 22.894
138 7.93 9.865 22.955
139 13.21 1.903 8.3
140 2.64 6.306 17.022
141 10.57 8.462 11.893
142 10.57 0.221 21.837
143 13.21 21.483 5.276
144 2.64 17.455 1.46
145 2.64 6.808 12.836
146 2.64 8.963 18.805
147 10.57 8.08 17.607
148 10.57 18.629 12.162
149 10.57 6.411 1.729
150 2.64 2.7 23.567
151 13.21 1.605 19.347
152 5.29 2.6 5.862
153 10.57 21.625 0.337
154 5.29 12.647 7.707
155 2.64 23.729 10.813
156 5.29 1.027 8.086
157 13.21 12.704 23.249
158 5.29 10.948 5.67
159 5.29 9.857 0.326
160 2.64 13.607 7.751
161 10.57 22.841 18.694
162 2.64 20.318 15.963
163 5.29 9.191 17.929
164 13.21 16.964 3.058
165 2.64 10.6 11.085
166 13.21 13.396 10.852
167 5.29 4.56 21.292
168 2.64 19.402 7.563
169 13.21 7.007 10.283
170 2.64 18.722 10.467
171 13.21 15.897 6.973
172 7.93 23.006 9.653
173 7.93 2.908 17.494
174 2.64 13.294 21.807
175 7.93 17.178 2.209
176 2.64 13.418 19.156
177 5.29 18.787 12.383
178 2.64 10.727 4.864
179 7.93 15.781 20.815
180 5.29 17.345 8.549
181 7.93 9.323 15.403
182 13.21 8.878 21.265
183 10.57 23.532 12.886
184 10.57 4.714 17.181
185 5.29 10.155 17.44
186 5.29 2.601 12.29
187 7.93 22.712 8.828
188 7.93 14.561 13.115
189 5.29 11.182 1.651
190 13.21 11.31 0.714
191 5.29 8.03 13.667
192 7.93 17.539 15.944
193 2.64 1.487 10.993
194 2.64 0.501 8.273
195 7.93 19.913 20.412
196 2.64 1.301 12.874
197 2.64 19.549 12.107
198 10.57 14.979 2.902
199 10.57 15.682 17.453
200 7.93 15.842 22.972
201 10.57 15.457 19.651
202 2.64 16.746 17.952
203 10.57 4.437 9.565
204 10.57 4.974 18.07
205 13.21 22.234 2.963
206 10.57 20.72 21.969
207 7.93 23.189 3.23
208 7.93 10.965 13.78
209 2.64 7.196 13.354
210 7.93 16.23 8.37
211 13.21 19.627 18.921
212 5.29 13.816 14.416
213 5.29 19.429 21.582
214 13.21 14.228 1.448
215 2.64 10.679 6.983
216 13.21 21.507 23.558
217 2.64 10.888 18.155
218 10.57 11.431 21.243
219 7.93 14.837 8.487
220 13.21 22.716 21.634
221 10.57 17.916 17.828
222 7.93 15.754 17.941
223 2.64 13.599 17.645
224 5.29 10.143 2.782
225 7.93 1.551 21.1
226 7.93 16.003 11.344
227 2.64 17.19 6.242
228 2.64 2.35 12.305
229 7.93 3.582 3.43
230 10.57 12.664 9.641
231 7.93 13.021 3.664
232 5.29 0.561 21.189
233 7.93 2.289 2.892
234 5.29 8.201 6.417
235 5.29 18.093 12.803
236 5.29 19.878 7.951
237 2.64 7.564 12.34
238 10.57 13.438 20.331
239 7.93 21.13 7.647
240 7.93 7.529 5.495
241 2.64 21.17 9.384
242 13.21 21.823 20.633
243 10.57 23.734 15.637
244 7.93 4.692 22.257
245 5.29 22.818 5.173
246 2.64 9.857 18.938
247 2.64 17.218 6.092
248 5.29 15.196 9.826
249 7.93 16.452 1.221
250 5.29 3.639 9.36
251 7.93 19.322 13.537
252 10.57 7.062 9.849
253 13.21 21.354 0.331
254 5.29 14.703 12.059
255 10.57 3.511 1.154
256 13.21 0.36 21.653
257 2.64 19.447 4.18
258 13.21 3.516 19.358
259 7.93 5.76 6.733
260 13.21 16.668 3.876
261 10.57 8.708 18.75
262 10.57 4.422 14.39
263 5.29 22.947 2.647
264 5.29 4.896 0.537
265 10.57 6.549 6.226
266 5.29 17.275 19.24
267 13.21 22.28 6.533
268 2.64 13.893 16.608
269 13.21 20.92 15.223
270 13.21 6.829 13.26
271 7.93 22.618 15.979
272 10.57 19.247 6.993
273 10.57 7.648 13.589
274 2.64 5.129 6.098
275 5.29 11.648 16.461
276 10.57 12.834 1.975
277 13.21 10.844 22.976
278 2.64 22.866 0.954
279 13.21 5.052 16.291
280 13.21 11.539 21.397
281 7.93 4.088 7.294
282 5.29 0.897 3.043
283 5.29 17.189 11.966
284 13.21 15.747 9.78
285 7.93 13.136 21.009
286 13.21 21.738 2.852
287 7.93 23.163 5.447
288 5.29 12.438 10.869
289 2.64 1.0 19.435
290 13.21 4.198 11.643
291 10.57 15.075 0.38
292 10.57 13.32 8.747
293 2.64 3.64 13.842
294 13.21 8.901 22.028
295 13.21 20.77 0.395
296 5.29 2.489 0.876
297 13.21 5.023 3.877
298 5.29 5.305 12.812
299 13.21 0.247 6.47
300 2.64 15.254 16.773
301 13.21 11.349 9.009
302 2.64 17.362 8.131
303 13.21 20.442 15.889
304 13.21 15.189 10.859
305 2.64 19.252 16.151
306 13.21 6.987 4.767
307 5.29 10.669 18.291
308 10.57 16.879 1.397
309 5.29 5.809 2.03
310 10.57 12.72 10.137
311 10.57 6.373 1.474
312 13.21 11.827 14.604
313 2.64 17.842 7.557
314 2.64 5.351 10.214
315 7.93 20.504 22.844
316 7.93 5.644 6.719
317 2.64 11.267 12.524
318 10.57 11.446 12.869
319 7.93 10.168 19.288
320 5.29 4.676 2.03
321 7.93 6.679 13.903
322 5.29 15.615 22.879
323 5.29 22.287 20.594
324 2.64 22.425 10.94
325 2.64 11.401 1.426
326 5.29 23.208 4.709
327 13.21 4.538 19.71
328 13.21 13.025 19.629
329 2.64 2.816 21.077
330 7.93 14.816 23.196
331 7.93 0.332 9.797
332 2.64 7.221 16.859
333 13.21 17.389 17.874
334 2.64 19.958 7.845
335 7.93 5.407 8.829
336 10.57 11.595 17.943
337 2.64 19.431 6.826
338 7.93 1.098 23.335
339 2.64 3.446 8.821
340 5.29 2.352 10.38
341 13.21 20.723 5.053
342 10.57 3.577 3.099
343 10.57 19.192 12.69
344 10.57 4.305 0.831
345 13.21 8.145 1.521
346 7.93 6.76 9.092
347 2.64 10.381 5.351
348 2.64 21.175 16.695
349 10.57 18.337 14.584
350 13.21 23.183 6.514
351 7.93 4.27 11.327
352 7.93 17.346 18.431
353 13.21 5.09 1.526
354 13.21 18.035 14.123
355 7.93 21.821 15.063
356 10.57 0.228 2.014
357 7.93 8.197 15.942
358 10.57 11.503 19.095
359 10.57 9.232 2.834
360 2.64 8.973 10.516
361 10.57 13.931 4.759
362 10.57 0.945 7.371
363 7.93 14.325 0.452
364 13.21 7.906 0.229
365 13.21 14.546 0.991
366 13.21 20.676 4.714
367 7.93 17.287 10.201
368 2.64 4.024 20.007
369 13.21 12.365 17.351
370 5.29 5.045 17.975
371 5.29 11.99 15.604
372 5.29 11.069 2.356
373 10.57 16.83 9.882
374 5.29 2.03 2.014
375 7.93 8.744 11.124
376 7.93 11.908 3.867
377 5.29 7.264 18.172
378 10.57 17.502 1.592
379 5.29 7.388 5.737
380 2.64 14.812 11.195
381 2.64 21.34 22.219
382 2.64 5.694 19.919
383 7.93 20.848 22.601
384 10.57 5.232 23.433
385 5.29 13.606 17.786
386 5.29 2.144 0.352
387 5.29 11.074 4.49
388 10.57 3.08 7.073
389 7.93 5.979 0.254
390 2.64 14.413 15.163
391 5.29 0.952 15.752
392 2.64 23.755 16.126
393 13.21 11.568 15.006
394 7.93 14.782 15.643
395 7.93 19.326 22.998
396 10.57 8.568 19.792
397 5.29 22.744 3.578
398 2.64 12.689 11.432
399 10.57 18.632 9.767
400 10.57 2.995 14.191
401 10.57 12.025 15.53
402 7.93 7.967 15.167
403 10.57 6.695 1.109
404 13.21 4.251 13.663
405 7.93 10.707 16.89
406 7.93 14.803 10.734
407 13.21 13.761 19.624
408 13.21 0.408 2.472
409 5.29 9.896 22.453
410 13.21 14.877 23.396
411 7.93 22.13 2.541
412 5.29 15.293 19.887
413 13.21 6.92 5.1
414 13.21 11.229 10.397
415 5.29 1.279 21.615
416 5.29 20.921 23.405
417 2.64 2.987 15.039
418 10.57 3.908 17.784
419 7.93 3.161 23.719
420 5.29 10.141 2.105
421 5.29 17.624 8.73
422 10.57 2.598 10.415
423 13.21 6.262 2.55
424 10.57 22.923 20.318
425 13.21 12.455 0.377
426 5.29 11.6 3.354
427 10.57 2.572 3.696
428 10.57 20.139 19.37
429 7.93 3.045 9.376
430 7.93 3.558 21.532
431 2.64 17.065 4.069
432 2.64 8.476 2.872
433 13.21 8.902 9.459
434 13.21 8.447 21.84
435 13.21 0.211 22.414
436 5.29 11.515 0.435
437 5.29 10.556 21.356
438 10.57 16.671 1.45
439 5.29 22.143 23.363
440 7.93 10.122 8.455
441 2.64 22.889 3.983
442 7.93 9.568 22.106
443 13.21 23.679 5.747
444 7.93 9.134 22.363
445 10.57 12.887 14.265
446 10.57 20.71 2.256
447 13.21 1.928 20.558
448 2.64 22.61 13.518
449 2.64 5.149 21.465
450 2.64 21.827 7.245
451 5.29 18.66 22.761
452 13.21 3.341 13.343
453 7.93 9.95 9.209
454 13.21 17.874 12.443
455 10.57 12.015 18.143
456 7.93 9.259 19.141
457 10.57 5.499 4.759
458 2.64 18.497 11.116
459 10.57 5.342 4.685
460 5.29 8.655 8.248
461 5.29 5.855 22.298
462 5.29 16.297 5.351
463 5.29 19.3 22.848
464 7.93 17.997 18.876
465 5.29 13.637 0.389
466 2.64 4.591 8.528
467 5.29 6.665 21.132
468 5.29 12.102 10.3
469 7.93 8.534 5.575
470 13.21 18.245 22.959
471 7.93 13.189 2.548
472 5.29 11.61 12.458
473 7.93 17.732 6.404
474 2.64 19.974 3.071
475 7.93 9.4 22.826
476 7.93 7.028 3.029
477 10.57 7.43 8.667
478 2.64 6.501 14.768
479 5.29 1.871 17.508
480 10.57 4.887 6.952
481 10.57 9.556 2.515
482 7.93 21.82 21.551
483 7.93 11.716 22.47
484 10.57 18.633 18.426
485 7.93 3.573 1.629
486 5.29 10.411 9.185
487 5.29 23.541 18.19
488 10.57 17.301 16.67
489 10.57 6.928 11.126
490 2.64 2.521 22.788
491 5.29 17.525 10.505
492 7.93 3.781 15.987
493 13.21 12.344 0.455
494 5.29 6.807 6.311
495 7.93 1.558 2.069
496 5.29 10.335 21.4
497 2.64 5.157 10.71
498 7.93 11.395 8.58
499 5.29 8.682 2.629
500 10.57 7.228 1.043
501 2.64 13.598 11.067
502 7.93 9.089 14.163
503 7.93 21.267 3.399
504 7.93 12.949 0.958
505 5.29 4.543 23.223
506 7.93 2.103 21.96
507 13.21 4.836 5.96
508 13.21 14.843 12.885
509 5.29 23.238 23.301
510 10.57 5.618 7.863
511 10.57 19.443 15.096
512 10.57 4.047 7.125
513 13.21 15.87 10.471
514 2.64 10.983 17.228
515 5.29 13.797 0.397
516 7.93 6.312 21.694
517 13.21 4.378 21.632
518 10.57 4.148 8.964
519 5.29 15.534 4.008
520 10.57 12.588 22.042
521 13.21 20.929 21.558
522 13.21 20.207 1.921
523 2.64 2.963 1.939
524 13.21 19.046 1.488
525 10.57 20.683 18.61
526 13.21 14.24 21.364
527 13.21 14.989 5.262
528 10.57 6.429 0.395
529 2.64 13.169 4.569
530 10.57 6.793 18.663
531 13.21 15.275 3.235
532 10.57 2.263 1.002
533 2.64 14.634 3.944
534 2.64 5.968 7.436
535 10.57 19.216 7.391
536 5.29 5.158 4.308
537 10.57 10.145 19.231
538 10.57 1.616 8.564
539 13.21 4.724 5.225
540 2.64 9.082 13.42
541 10.57 1.098 10.682
542 13.21 20.928 7.018
543 10.57 11.167 22.653
544 13.21 13.307 20.812
545 13.21 20.2 15.934
546 5.29 11.189 1.151
547 7.93 6.984 17.944
548 13.21 19.367 17.913
549 13.21 13.062 2.382
550 2.64 0.423 15.066
551 10.57 9.472 3.999
552 7.93 4.477 4.509
553 13.21 11.918 5.126
554 10.57 14.382 5.999
