location capacity Xf Yf
1 7.93 0.0 0.0
2 2.64 0.0 0.0
3 7.93 0.0 0.0
4 7.93 0.0 0.0
5 2.64 0.0 0.0
6 2.64 0.0 0.0
7 7.93 0.0 0.0
8 5.29 0.0 0.0
9 5.29 0.0 0.0
10 2.64 0.0 0.0
11 2.64 0.0 0.0
12 5.29 0.0 0.0
13 2.64 0.0 0.0
14 5.29 0.0 0.0
15 5.29 0.0 0.0
16 7.93 0.0 0.0
17 2.64 0.0 0.0
18 5.29 0.0 0.0
19 2.64 0.0 0.0
20 7.93 0.0 0.0
21 2.64 0.0 0.0
22 7.93 0.0 0.0
23 5.29 0.0 0.0
24 7.93 0.0 0.0
25 2.64 0.0 0.0
26 5.29 0.0 0.0
27 5.29 0.0 0.0
28 5.29 0.0 0.0
29 5.29 0.0 0.0
30 5.29 0.0 0.0
31 7.93 0.0 0.0
32 7.93 0.0 0.0
33 5.29 0.0 0.0
34 7.93 0.0 0.0
35 7.93 0.0 0.0
36 5.29 0.0 0.0
37 5.29 0.0 0.0
38 2.64 0.0 0.0
39 2.64 0.0 0.0
40 2.64 0.0 0.0
41 2.64 0.0 0.0
42 2.64 0.0 0.0
43 7.93 0.0 0.0
44 2.64 0.0 0.0
45 5.29 0.0 0.0
46 5.29 0.0 0.0
47 5.29 0.0 0.0
48 2.64 0.0 0.0
49 5.29 0.0 0.0
50 2.64 0.0 0.0
51 7.93 0.0 0.0
52 2.64 0.0 0.0
53 5.29 0.0 0.0
54 5.29 0.0 0.0
55 2.64 0.0 0.0
56 5.29 0.0 0.0
57 7.93 0.0 0.0
58 7.93 0.0 0.0
59 2.64 0.0 0.0
60 5.29 0.0 0.0
61 5.29 0.0 0.0
62 5.29 0.0 0.0
63 2.64 0.0 0.0
64 7.93 0.0 0.0
65 7.93 0.0 0.0
66 5.29 0.0 0.0
67 2.64 0.0 0.0
68 7.93 0.0 0.0
69 2.64 0.0 0.0
70 5.29 0.0 0.0
71 5.29 0.0 0.0
72 5.29 0.0 0.0
73 2.64 0.0 0.0
74 2.64 0.0 0.0
75 5.29 0.0 0.0
76 2.64 0.0 0.0
77 5.29 0.0 0.0
78 7.93 0.0 0.0
79 7.93 0.0 0.0
80 5.29 0.0 0.0
81 7.93 0.0 0.0
82 7.93 0.0 0.0
83 7.93 0.0 0.0
84 2.64 0.0 0.0
85 5.29 0.0 0.0
86 5.29 0.0 0.0
87 5.29 0.0 0.0
88 5.29 0.0 0.0
89 5.29 0.0 0.0
90 7.93 0.0 0.0
91 7.93 0.0 0.0
92 5.29 0.0 0.0
93 7.93 0.0 0.0
94 7.93 0.0 0.0
95 2.64 0.0 0.0
96 7.93 0.0 0.0
97 7.93 0.0 0.0
98 5.29 0.0 0.0
99 2.64 0.0 0.0
100 2.64 0.0 0.0
101 2.64 0.0 0.0
102 2.64 0.0 0.0
103 7.93 0.0 0.0
104 2.64 0.0 0.0
105 2.64 0.0 0.0
106 5.29 0.0 0.0
107 5.29 0.0 0.0
108 7.93 0.0 0.0
109 7.93 0.0 0.0
110 7.93 0.0 0.0
111 5.29 0.0 0.0
112 2.64 0.0 0.0
113 2.64 0.0 0.0
114 5.29 0.0 0.0
115 5.29 0.0 0.0
116 2.64 0.0 0.0
117 2.64 0.0 0.0
118 2.64 0.0 0.0
119 2.64 0.0 0.0
120 5.29 0.0 0.0
121 5.29 0.0 0.0
122 7.93 0.0 0.0
123 2.64 0.0 0.0
124 2.64 0.0 0.0
125 5.29 0.0 0.0
126 5.29 0.0 0.0
127 2.64 0.0 0.0
128 7.93 0.0 0.0
129 7.93 0.0 0.0
130 7.93 0.0 0.0
131 5.29 0.0 0.0
132 7.93 0.0 0.0
133 2.64 0.0 0.0
134 2.64 0.0 0.0
135 2.64 0.0 0.0
136 2.64 0.0 0.0
137 5.29 0.0 0.0
138 7.93 0.0 0.0
139 5.29 0.0 0.0
140 7.93 0.0 0.0
141 5.29 0.0 0.0
142 7.93 0.0 0.0
143 7.93 0.0 0.0
144 5.29 0.0 0.0
145 5.29 0.0 0.0
146 2.64 0.0 0.0
147 2.64 0.0 0.0
148 7.93 0.0 0.0
149 2.64 0.0 0.0
150 2.64 0.0 0.0
151 2.64 0.0 0.0
152 2.64 0.0 0.0
153 5.29 0.0 0.0
154 2.64 0.0 0.0
155 5.29 0.0 0.0
156 7.93 0.0 0.0
157 2.64 0.0 0.0
158 5.29 0.0 0.0
159 2.64 0.0 0.0
160 5.29 0.0 0.0
161 7.93 0.0 0.0
162 2.64 0.0 0.0
163 2.64 0.0 0.0
164 2.64 0.0 0.0
165 5.29 0.0 0.0
166 7.93 0.0 0.0
167 7.93 0.0 0.0
168 5.29 0.0 0.0
169 2.64 0.0 0.0
170 2.64 0.0 0.0
171 2.64 0.0 0.0
172 7.93 0.0 0.0
173 5.29 0.0 0.0
174 5.29 0.0 0.0
175 5.29 0.0 0.0
176 2.64 0.0 0.0
177 5.29 0.0 0.0
178 2.64 0.0 0.0
179 5.29 0.0 0.0
180 7.93 0.0 0.0
181 2.64 0.0 0.0
182 2.64 0.0 0.0
183 7.93 0.0 0.0
184 2.64 0.0 0.0
185 5.29 0.0 0.0
186 5.29 0.0 0.0
187 5.29 0.0 0.0
188 5.29 0.0 0.0
189 5.29 0.0 0.0
190 7.93 0.0 0.0
191 5.29 0.0 0.0
192 7.93 0.0 0.0
193 7.93 0.0 0.0
194 7.93 0.0 0.0
195 5.29 0.0 0.0
196 2.64 0.0 0.0
197 7.93 0.0 0.0
198 5.29 0.0 0.0
199 7.93 0.0 0.0
200 7.93 0.0 0.0
201 7.93 0.0 0.0
202 5.29 0.0 0.0
203 5.29 0.0 0.0
204 2.64 0.0 0.0
205 5.29 0.0 0.0
206 5.29 0.0 0.0
207 5.29 0.0 0.0
208 5.29 0.0 0.0
209 7.93 0.0 0.0
210 5.29 0.0 0.0
211 5.29 0.0 0.0
212 7.93 0.0 0.0
213 2.64 0.0 0.0
214 7.93 0.0 0.0
215 2.64 0.0 0.0
216 2.64 0.0 0.0
217 2.64 0.0 0.0
218 7.93 0.0 0.0
219 2.64 0.0 0.0
220 5.29 0.0 0.0
221 5.29 0.0 0.0
222 2.64 0.0 0.0
223 7.93 0.0 0.0
224 5.29 0.0 0.0
225 2.64 0.0 0.0
226 2.64 0.0 0.0
227 5.29 0.0 0.0
228 7.93 0.0 0.0
229 5.29 0.0 0.0
230 7.93 0.0 0.0
231 2.64 0.0 0.0
232 5.29 0.0 0.0
233 7.93 0.0 0.0
234 7.93 0.0 0.0
235 7.93 0.0 0.0
236 7.93 0.0 0.0
237 7.93 0.0 0.0
238 5.29 0.0 0.0
239 2.64 0.0 0.0
240 7.93 0.0 0.0
241 7.93 0.0 0.0
242 2.64 0.0 0.0
243 2.64 0.0 0.0
244 7.93 0.0 0.0
245 2.64 0.0 0.0
246 7.93 0.0 0.0
247 7.93 0.0 0.0
248 5.29 0.0 0.0
249 5.29 0.0 0.0
250 5.29 0.0 0.0
251 5.29 0.0 0.0
252 5.29 0.0 0.0
253 7.93 0.0 0.0
254 2.64 0.0 0.0
255 2.64 0.0 0.0
256 5.29 0.0 0.0
257 7.93 0.0 0.0
258 5.29 0.0 0.0
259 2.64 0.0 0.0
260 5.29 0.0 0.0
261 7.93 0.0 0.0
262 2.64 0.0 0.0
263 7.93 0.0 0.0
264 2.64 0.0 0.0
265 7.93 0.0 0.0
266 5.29 0.0 0.0
267 5.29 0.0 0.0
268 5.29 0.0 0.0
269 5.29 0.0 0.0
270 5.29 0.0 0.0
271 5.29 0.0 0.0
272 7.93 0.0 0.0
273 5.29 0.0 0.0
274 2.64 0.0 0.0
275 5.29 0.0 0.0
276 5.29 0.0 0.0
277 5.29 0.0 0.0
278 2.64 0.0 0.0
279 7.93 0.0 0.0
280 5.29 0.0 0.0
281 2.64 0.0 0.0
282 7.93 0.0 0.0
283 2.64 0.0 0.0
284 7.93 0.0 0.0
285 5.29 0.0 0.0
286 7.93 0.0 0.0
