location capacity Xf Yf
1 31.711 0.0 0.0
2 31.711 0.0 0.0
3 10.57 0.0 0.0
4 21.141 0.0 0.0
5 10.57 0.0 0.0
6 10.57 0.0 0.0
7 31.711 0.0 0.0
8 10.57 0.0 0.0
9 31.711 0.0 0.0
10 21.141 0.0 0.0
11 31.711 0.0 0.0
12 10.57 0.0 0.0
13 31.711 0.0 0.0
14 21.141 0.0 0.0
15 31.711 0.0 0.0
16 31.711 0.0 0.0
17 10.57 0.0 0.0
18 21.141 0.0 0.0
19 10.57 0.0 0.0
20 21.141 0.0 0.0
21 10.57 0.0 0.0
22 31.711 0.0 0.0
23 21.141 0.0 0.0
24 21.141 0.0 0.0
25 10.57 0.0 0.0
26 21.141 0.0 0.0
27 10.57 0.0 0.0
28 31.711 0.0 0.0
29 31.711 0.0 0.0
30 10.57 0.0 0.0
31 31.711 0.0 0.0
32 21.141 0.0 0.0
33 21.141 0.0 0.0
34 21.141 0.0 0.0
35 10.57 0.0 0.0
36 31.711 0.0 0.0
37 10.57 0.0 0.0
38 21.141 0.0 0.0
39 21.141 0.0 0.0
40 10.57 0.0 0.0
41 21.141 0.0 0.0
42 10.57 0.0 0.0
43 31.711 0.0 0.0
44 10.57 0.0 0.0
45 31.711 0.0 0.0
46 31.711 0.0 0.0
47 31.711 0.0 0.0
48 31.711 0.0 0.0
49 10.57 0.0 0.0
50 31.711 0.0 0.0
51 21.141 0.0 0.0
52 31.711 0.0 0.0
53 21.141 0.0 0.0
54 21.141 0.0 0.0
55 10.57 0.0 0.0
56 21.141 0.0 0.0
57 31.711 0.0 0.0
58 21.141 0.0 0.0
59 21.141 0.0 0.0
60 21.141 0.0 0.0
61 31.711 0.0 0.0
62 10.57 0.0 0.0
63 10.57 0.0 0.0
64 21.141 0.0 0.0
65 31.711 0.0 0.0
66 10.57 0.0 0.0
67 10.57 0.0 0.0
68 21.141 0.0 0.0
69 31.711 0.0 0.0
70 21.141 0.0 0.0
71 10.57 0.0 0.0
72 21.141 0.0 0.0
73 10.57 0.0 0.0
74 10.57 0.0 0.0
75 21.141 0.0 0.0
76 31.711 0.0 0.0
77 21.141 0.0 0.0
78 10.57 0.0 0.0
79 21.141 0.0 0.0
80 31.711 0.0 0.0
81 10.57 0.0 0.0
82 31.711 0.0 0.0
83 31.711 0.0 0.0
84 31.711 0.0 0.0
85 21.141 0.0 0.0
86 10.57 0.0 0.0
87 21.141 0.0 0.0
88 21.141 0.0 0.0
89 21.141 0.0 0.0
90 21.141 0.0 0.0
91 21.141 0.0 0.0
92 31.711 0.0 0.0
93 31.711 0.0 0.0
94 10.57 0.0 0.0
95 21.141 0.0 0.0
96 21.141 0.0 0.0
97 10.57 0.0 0.0
98 21.141 0.0 0.0
99 21.141 0.0 0.0
100 21.141 0.0 0.0
101 31.711 0.0 0.0
102 10.57 0.0 0.0
103 10.57 0.0 0.0
104 21.141 0.0 0.0
105 21.141 0.0 0.0
106 10.57 0.0 0.0
107 21.141 0.0 0.0
108 31.711 0.0 0.0
109 21.141 0.0 0.0
110 31.711 0.0 0.0
111 31.711 0.0 0.0
112 10.57 0.0 0.0
113 10.57 0.0 0.0
114 10.57 0.0 0.0
115 31.711 0.0 0.0
116 21.141 0.0 0.0
117 31.711 0.0 0.0
118 21.141 0.0 0.0
119 10.57 0.0 0.0
120 10.57 0.0 0.0
121 21.141 0.0 0.0
122 31.711 0.0 0.0
123 10.57 0.0 0.0
124 10.57 0.0 0.0
125 10.57 0.0 0.0
126 10.57 0.0 0.0
127 10.57 0.0 0.0
128 10.57 0.0 0.0
129 21.141 0.0 0.0
130 21.141 0.0 0.0
131 31.711 0.0 0.0
132 21.141 0.0 0.0
133 21.141 0.0 0.0
134 21.141 0.0 0.0
135 31.711 0.0 0.0
136 21.141 0.0 0.0
137 10.57 0.0 0.0
138 21.141 0.0 0.0
139 21.141 0.0 0.0
140 31.711 0.0 0.0
141 31.711 0.0 0.0
142 21.141 0.0 0.0
143 31.711 0.0 0.0
144 21.141 0.0 0.0
145 21.141 0.0 0.0
146 10.57 0.0 0.0
147 10.57 0.0 0.0
148 10.57 0.0 0.0
149 31.711 0.0 0.0
150 10.57 0.0 0.0
151 31.711 0.0 0.0
152 31.711 0.0 0.0
153 10.57 0.0 0.0
154 31.711 0.0 0.0
155 31.711 0.0 0.0
156 31.711 0.0 0.0
157 31.711 0.0 0.0
158 21.141 0.0 0.0
159 10.57 0.0 0.0
160 21.141 0.0 0.0
161 10.57 0.0 0.0
162 31.711 0.0 0.0
163 10.57 0.0 0.0
164 21.141 0.0 0.0
165 10.57 0.0 0.0
166 10.57 0.0 0.0
167 31.711 0.0 0.0
168 31.711 0.0 0.0
169 10.57 0.0 0.0
170 31.711 0.0 0.0
171 10.57 0.0 0.0
172 10.57 0.0 0.0
173 21.141 0.0 0.0
174 21.141 0.0 0.0
175 31.711 0.0 0.0
176 31.711 0.0 0.0
177 31.711 0.0 0.0
178 31.711 0.0 0.0
179 31.711 0.0 0.0
180 31.711 0.0 0.0
181 10.57 0.0 0.0
182 10.57 0.0 0.0
183 31.711 0.0 0.0
184 21.141 0.0 0.0
185 31.711 0.0 0.0
186 31.711 0.0 0.0
187 21.141 0.0 0.0
188 10.57 0.0 0.0
189 10.57 0.0 0.0
190 21.141 0.0 0.0
191 31.711 0.0 0.0
192 21.141 0.0 0.0
193 10.57 0.0 0.0
194 21.141 0.0 0.0
195 10.57 0.0 0.0
196 21.141 0.0 0.0
