customer weight Xc Yc
1 1.01 0.5 27.5
2 1.0 1.5 27.5
3 1.444 2.5 27.5
4 1.544 3.5 27.5
5 1.497 4.5 27.5
6 2.599 5.5 27.5
7 2.474 6.5 27.5
8 1.0 7.5 27.5
9 1.0 8.5 27.5
10 1.0 9.5 27.5
11 2.337 10.5 27.5
12 1.0 11.5 27.5
13 1.338 12.5 27.5
14 2.058 13.5 27.5
15 2.705 14.5 27.5
16 3.98 15.5 27.5
17 3.46 16.5 27.5
18 2.936 17.5 27.5
19 2.917 18.5 27.5
20 4.075 19.5 27.5
21 4.198 20.5 27.5
22 4.885 21.5 27.5
23 2.59 22.5 27.5
24 1.435 23.5 27.5
25 1.799 24.5 27.5
26 1.362 25.5 27.5
27 1.073 26.5 27.5
28 1.0 27.5 27.5
29 1.247 0.5 26.5
30 1.56 1.5 26.5
31 1.313 2.5 26.5
32 1.528 3.5 26.5
33 1.63 4.5 26.5
34 2.403 5.5 26.5
35 2.674 6.5 26.5
36 2.289 7.5 26.5
37 1.0 8.5 26.5
38 1.323 9.5 26.5
39 1.0 10.5 26.5
40 2.485 11.5 26.5
41 1.106 12.5 26.5
42 2.357 13.5 26.5
43 2.384 14.5 26.5
44 2.789 15.5 26.5
45 4.498 16.5 26.5
46 4.099 17.5 26.5
47 4.089 18.5 26.5
48 3.085 19.5 26.5
49 5.019 20.5 26.5
50 3.617 21.5 26.5
51 2.1 22.5 26.5
52 2.015 23.5 26.5
53 1.059 24.5 26.5
54 1.0 25.5 26.5
55 1.0 26.5 26.5
56 1.0 27.5 26.5
57 1.972 0.5 25.5
58 1.361 1.5 25.5
59 2.262 2.5 25.5
60 1.922 3.5 25.5
61 2.431 4.5 25.5
62 2.325 5.5 25.5
63 2.932 6.5 25.5
64 1.482 7.5 25.5
65 1.324 8.5 25.5
66 1.0 9.5 25.5
67 2.388 10.5 25.5
68 1.357 11.5 25.5
69 2.62 12.5 25.5
70 1.834 13.5 25.5
71 3.675 14.5 25.5
72 4.193 15.5 25.5
73 4.347 16.5 25.5
74 5.375 17.5 25.5
75 5.814 18.5 25.5
76 5.324 19.5 25.5
77 2.785 20.5 25.5
78 4.018 21.5 25.5
79 2.821 22.5 25.5
80 1.469 23.5 25.5
81 1.643 24.5 25.5
82 1.219 25.5 25.5
83 1.089 26.5 25.5
84 1.0 27.5 25.5
85 2.165 0.5 24.5
86 1.959 1.5 24.5
87 2.451 2.5 24.5
88 2.339 3.5 24.5
89 2.354 4.5 24.5
90 3.511 5.5 24.5
91 2.015 6.5 24.5
92 1.897 7.5 24.5
93 1.348 8.5 24.5
94 1.305 9.5 24.5
95 1.0 10.5 24.5
96 1.977 11.5 24.5
97 2.686 12.5 24.5
98 2.262 13.5 24.5
99 3.473 14.5 24.5
100 2.797 15.5 24.5
101 3.48 16.5 24.5
102 5.895 17.5 24.5
103 6.0 18.5 24.5
104 5.006 19.5 24.5
105 5.293 20.5 24.5
106 3.265 21.5 24.5
107 2.9 22.5 24.5
108 1.551 23.5 24.5
109 1.145 24.5 24.5
110 1.103 25.5 24.5
111 1.025 26.5 24.5
112 1.035 27.5 24.5
113 2.41 0.5 23.5
114 2.689 1.5 23.5
115 3.685 2.5 23.5
116 3.598 3.5 23.5
117 3.474 4.5 23.5
118 3.62 5.5 23.5
119 3.406 6.5 23.5
120 2.554 7.5 23.5
121 2.334 8.5 23.5
122 1.601 9.5 23.5
123 1.048 10.5 23.5
124 1.452 11.5 23.5
125 2.596 12.5 23.5
126 2.929 13.5 23.5
127 2.971 14.5 23.5
128 2.45 15.5 23.5
129 5.033 16.5 23.5
